season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2016,1,REG,SF,LA,00-0004091,P.Dawson,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,IND,DET,00-0016919,A.Vinatieri,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,LV,NO,00-0019646,S.Janikowski,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,HOU,CHI,00-0019714,S.Lechler,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,BAL,BUF,00-0020337,S.Smith,WR,0,0,0,0,0,0,0,0,8,5,19,0,0,0,41,12
2016,1,REG,NO,LV,00-0020531,D.Brees,QB,42,28,423,4,0,2,5,0,0,0,0,0,304,208,0,0
2016,1,REG,ATL,TB,00-0020578,M.Bryant,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,MIN,TEN,00-0020679,S.Hill,QB,33,18,236,0,0,2,8,0,0,0,0,0,343,64,0,0
2016,1,REG,PIT,WAS,00-0020712,J.Harrison,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,ATL,TB,00-0021146,D.Freeney,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,ARI,NE,00-0021429,C.Palmer,QB,37,24,271,2,0,2,1,0,0,0,0,0,372,105,0,0
2016,1,REG,LAC,KC,00-0021547,A.Gates,TE,0,0,0,0,0,0,0,0,4,3,20,0,0,0,19,9
2016,1,REG,TEN,MIN,00-0022044,A.Johnson,WR,0,0,0,0,0,0,0,0,7,3,30,0,0,0,85,8
2016,1,REG,MIN,TEN,00-0022045,T.Newman,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,IND,DET,00-0022059,R.Mathis,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,DET,IND,00-0022084,A.Boldin,WR,0,0,0,0,0,0,0,0,3,3,35,0,0,0,5,30
2016,1,REG,DAL,NYG,00-0022127,J.Witten,TE,0,0,0,0,0,0,0,0,14,9,66,0,0,0,96,28
2016,1,REG,BAL,BUF,00-0022161,T.Suggs,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,IND,DET,00-0022247,M.Adams,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,PHI,CLE,00-0022531,J.Peters,OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,PHI,CLE,00-0022684,D.Jones,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,HOU,CHI,00-0022712,V.Wilfork,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,NYG,DAL,00-0022803,E.Manning,QB,28,19,207,3,1,0,0,0,0,0,0,0,190,63,0,0
2016,1,REG,CAR,DEN,00-0022824,A.Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,TB,ATL,00-0022839,Da.Smith,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,ARI,NE,00-0022921,L.Fitzgerald,WR,0,0,0,0,0,0,0,0,10,8,81,2,0,0,91,27
2016,1,REG,WAS,PIT,00-0022923,D.Hall,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,PIT,WAS,00-0022924,B.Roethlisberger,QB,37,27,300,3,1,1,-2,0,0,0,0,0,243,107,0,0
2016,1,REG,CIN,NYJ,00-0022927,K.Dansby,ILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,LAC,KC,00-0022942,P.Rivers,QB,36,25,243,1,0,2,9,0,0,0,0,0,218,138,0,0
2016,1,REG,NO,LV,00-0022999,J.Kuhn,FB,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0
2016,1,REG,HOU,CHI,00-0023096,N.Novak,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,BUF,BAL,00-0023259,L.Alexander,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,MIA,SEA,00-0023368,C.Wake,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,KC,LAC,00-0023436,A.Smith,QB,48,34,363,2,1,4,15,1,0,0,0,0,311,171,0,0
2016,1,REG,CIN,NYJ,00-0023441,A.Jones,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,DEN,CAR,00-0023445,D.Ware,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,CAR,DEN,00-0023448,T.Davis,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,KC,LAC,00-0023449,D.Johnson,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,GB,JAX,00-0023459,A.Rodgers,QB,34,20,199,2,0,4,16,1,0,0,0,0,332,61,0,0
2016,1,REG,CIN,NYJ,00-0023482,M.Nugent,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,ATL,TB,00-0023494,J.Babineaux,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,TB,ATL,00-0023496,V.Jackson,WR,0,0,0,0,0,0,0,0,7,2,18,0,0,0,92,1
2016,1,REG,IND,DET,00-0023500,F.Gore,RB,0,0,0,0,0,14,59,0,6,4,19,0,0,0,-8,23
2016,1,REG,KC,LAC,00-0023534,D.Colquitt,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,PHI,CLE,00-0023564,D.Sproles,RB,0,0,0,0,0,5,12,0,5,2,24,0,0,0,-9,36
2016,1,REG,IND,DET,00-0023579,T.Cole,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,NYJ,CIN,00-0023682,R.Fitzpatrick,QB,35,19,189,2,1,4,15,0,0,0,0,0,197,109,0,0
2016,1,REG,SEA,MIA,00-0023742,J.Ryan,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,MIA,SEA,00-0023750,M.Williams,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,DET,IND,00-0023853,M.Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,CLE,PHI,00-0024061,T.Williams,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,REG,SEA,MIA,00-0024102,T.McDaniel,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
