season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2020,1,REG,TB,NO,00-0019596,T.Brady,QB,36,23,239,2,2,3,9,1,0,0,0,0,292,90,0,0
2020,1,REG,NO,TB,00-0020531,D.Brees,QB,30,18,160,2,0,2,0,0,0,0,0,0,145,99,0,0
2020,1,REG,LV,CAR,00-0022127,J.Witten,TE,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0
2020,1,REG,ARI,SF,00-0022824,A.Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,REG,ARI,SF,00-0022921,L.Fitzgerald,WR,0,0,0,0,0,0,0,0,5,4,34,0,0,0,15,23
2020,1,REG,PIT,NYG,00-0022924,B.Roethlisberger,QB,32,21,229,3,0,3,9,0,0,0,0,0,221,105,0,0
2020,1,REG,IND,JAX,00-0022942,P.Rivers,QB,46,36,363,1,2,1,3,0,0,0,0,0,289,212,0,0
2020,1,REG,SF,ARI,00-0023252,R.Gould,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,REG,GB,MIN,00-0023459,A.Rodgers,QB,44,32,364,4,0,1,2,0,0,0,0,0,391,155,0,0
2020,1,REG,NYJ,BUF,00-0023500,F.Gore,RB,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0
2020,1,REG,PIT,NYG,00-0023534,D.Colquitt,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,REG,MIA,NE,00-0023682,R.Fitzpatrick,QB,30,20,191,0,3,5,18,0,0,0,0,0,251,59,0,0
2020,1,REG,DET,CHI,00-0023853,M.Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,REG,TEN,DEN,00-0024239,J.Joseph,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
