season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2018,1,REG,ARI,WAS,00-0004091,P.Dawson,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,IND,CIN,00-0016919,A.Vinatieri,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NE,HOU,00-0019596,T.Brady,QB,39,26,277,3,1,1,2,0,0,0,0,0,320,93,0,0
2018,1,REG,SEA,DEN,00-0019646,S.Janikowski,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NO,TB,00-0020531,D.Brees,QB,45,37,439,3,0,0,0,0,0,0,0,0,348,167,0,0
2018,1,REG,ATL,PHI,00-0020578,M.Bryant,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CAR,DAL,00-0021140,J.Peppers,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LAC,KC,00-0021547,A.Gates,TE,0,0,0,0,0,0,0,0,3,2,16,0,0,0,27,5
2018,1,REG,BAL,BUF,00-0022161,T.Suggs,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CAR,DAL,00-0022247,M.Adams,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NYG,JAX,00-0022803,E.Manning,QB,37,23,224,0,1,1,2,0,0,0,0,0,249,86,0,0
2018,1,REG,ARI,WAS,00-0022824,A.Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,ARI,WAS,00-0022921,L.Fitzgerald,WR,0,0,0,0,0,0,0,0,10,7,76,0,0,0,90,21
2018,1,REG,PIT,CLE,00-0022924,B.Roethlisberger,QB,41,23,335,1,3,3,16,0,0,0,0,0,382,213,0,0
2018,1,REG,LAC,KC,00-0022942,P.Rivers,QB,51,34,424,3,1,0,0,0,0,0,0,0,483,249,0,0
2018,1,REG,NO,TB,00-0022943,B.Watson,TE,0,0,0,0,0,0,0,0,4,4,44,0,0,0,41,3
2018,1,REG,SF,MIN,00-0023252,R.Gould,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BUF,BAL,00-0023259,L.Alexander,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,DAL,CAR,00-0023298,L.Ladouceur,LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,MIA,TEN,00-0023368,C.Wake,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,WAS,ARI,00-0023436,A.Smith,QB,30,21,255,2,0,8,14,0,0,0,0,0,101,180,0,0
2018,1,REG,DEN,SEA,00-0023441,A.Jones,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LV,LA,00-0023449,D.Johnson,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,GB,CHI,00-0023459,A.Rodgers,QB,30,20,286,3,0,1,15,0,0,0,0,0,285,159,0,0
2018,1,REG,LV,LA,00-0023482,M.Nugent,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,MIA,TEN,00-0023500,F.Gore,RB,0,0,0,0,0,9,61,0,0,0,0,0,0,0,0,0
2018,1,REG,KC,LAC,00-0023534,D.Colquitt,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PHI,ATL,00-0023564,D.Sproles,RB,0,0,0,0,0,5,10,0,7,4,22,0,0,0,-3,22
2018,1,REG,DET,NYJ,00-0023662,M.Cassel,QB,6,2,14,0,1,1,-1,0,0,0,0,0,49,4,0,0
2018,1,REG,TB,NO,00-0023682,R.Fitzpatrick,QB,28,21,417,4,0,12,36,1,0,0,0,0,341,130,0,0
2018,1,REG,DET,NYJ,00-0023853,M.Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,SEA,DEN,00-0024030,T.Johnson,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,GB,CHI,00-0024061,T.Williams,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,WAS,ARI,00-0024221,V.Davis,TE,0,0,0,0,0,0,0,0,1,1,9,0,0,0,6,3
2018,1,REG,HOU,NE,00-0024239,J.Joseph,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LV,LA,00-0024306,F.Rucker,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NE,HOU,00-0024333,S.Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,SEA,DEN,00-0024334,B.Marshall,WR,0,0,0,0,0,0,0,0,6,3,46,1,0,0,83,1
2018,1,REG,DEN,SEA,00-0024338,D.Peko,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BUF,BAL,00-0024348,K.Williams,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,TEN,MIA,00-0024389,D.Walker,TE,0,0,0,0,0,0,0,0,7,4,52,0,0,0,46,20
2018,1,REG,BAL,BUF,00-0024417,S.Koch,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,ARI,WAS,00-0024421,A.Bethea,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,WAS,ARI,00-0025394,A.Peterson,RB,0,0,0,0,0,26,96,1,3,2,70,0,0,0,2,70
2018,1,REG,NO,TB,00-0025396,T.Ginn,WR,0,0,0,0,0,1,5,0,6,5,68,1,0,0,72,4
2018,1,REG,LV,LA,00-0025399,M.Lynch,RB,0,0,0,0,0,11,41,1,2,2,8,0,0,0,-2,10
2018,1,REG,LV,LA,00-0025405,L.Hall,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LV,LA,00-0025408,R.Nelson,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CAR,DAL,00-0025418,G.Olsen,TE,0,0,0,0,0,0,0,0,2,2,33,0,0,0,25,8
2018,1,REG,BAL,BUF,00-0025424,E.Weddle,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CAR,DAL,00-0025446,R.Kalil,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LAC,KC,00-0025472,B.Mebane,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PHI,ATL,00-0025555,C.Graham,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,GB,CHI,00-0025580,M.Crosby,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,TEN,MIA,00-0025825,B.Kern,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,TEN,MIA,00-0025828,W.Woodyard,ILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BUF,BAL,00-0025944,S.Hauschka,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,MIA,TEN,00-0026035,D.Amendola,WR,0,0,0,0,0,0,0,0,6,4,26,0,0,0,50,12
2018,1,REG,PHI,ATL,00-0026142,C.Long,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,ATL,PHI,00-0026143,M.Ryan,QB,43,21,251,0,1,2,8,0,0,0,0,0,380,92,0,0
2018,1,REG,NYG,JAX,00-0026153,J.Stewart,RB,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
2018,1,REG,LV,LA,00-0026156,D.Rodgers-Cromartie,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BAL,BUF,00-0026158,J.Flacco,QB,34,25,236,3,0,2,3,0,0,0,0,0,205,93,0,0
2018,1,REG,LA,LV,00-0026160,A.Talib,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LV,LA,00-0026176,J.Nelson,WR,0,0,0,0,0,0,0,0,4,3,23,0,0,0,23,8
2018,1,REG,TB,NO,00-0026189,D.Jackson,WR,0,0,0,0,0,0,0,0,5,5,146,2,0,0,117,29
2018,1,REG,JAX,NYG,00-0026190,C.Campbell,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,MIA,TEN,00-0026275,J.Sitton,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BAL,BUF,00-0026280,B.Carr,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,KC,LAC,00-0026283,O.Scandrick,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NE,HOU,00-0026293,M.Slater,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,LA,LV,00-0026327,J.Sullivan,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,SF,MIN,00-0026345,P.Garcon,WR,0,0,0,0,0,0,0,0,6,2,21,0,0,0,52,0
2018,1,REG,DET,NYJ,00-0026498,M.Stafford,QB,46,27,286,1,4,1,6,0,0,0,0,0,354,140,0,0
2018,1,REG,DET,NYJ,00-0026502,R.Jean Francois,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CLE,PIT,00-0026516,B.Colquitt,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NYJ,DET,00-0026564,S.McLendon,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PHI,ATL,00-0026618,M.Bennett,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,WAS,ARI,00-0026714,N.Sundberg,LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,TB,NO,00-0026814,D.Dotson,OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,JAX,NYG,00-0026839,J.Parnell,OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,CAR,DAL,00-0026858,G.Gano,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PHI,ATL,00-0026901,M.Wallace,WR,0,0,0,0,0,0,0,0,3,0,0,0,0,0,109,0
2018,1,REG,CAR,DAL,00-0026944,C.Munnerlyn,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,TEN,MIA,00-0026968,R.Succop,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PIT,CLE,00-0026983,D.Heyward-Bey,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BAL,BUF,00-0026986,M.Crabtree,WR,0,0,0,0,0,0,0,0,6,3,38,1,0,0,61,6
2018,1,REG,TEN,MIA,00-0026989,B.Orakpo,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,PHI,ATL,00-0026990,M.Jenkins,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,ATL,PHI,00-0026997,A.Mack,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,GB,CHI,00-0027002,C.Matthews,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,WAS,ARI,00-0027008,E.Hood,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NE,HOU,00-0027010,P.Chung,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NYG,JAX,00-0027022,C.Barwin,ILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,NO,TB,00-0027025,M.Unger,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,REG,BUF,BAL,00-0027029,L.McCoy,RB,0,0,0,0,0,7,22,0,3,1,-1,0,0,0,-11,4
