season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2023,1,REG,NYJ,BUF,00-0023459,A.Rodgers,QB,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2023,1,REG,ARI,WAS,00-0023853,M.Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,TEN,NO,00-0025565,N.Folk,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,ATL,CAR,00-0026190,C.Campbell,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,LA,SEA,00-0026498,M.Stafford,QB,38,24,334,0,0,3,11,0,0,0,0,0,409,106,0,0
2023,1,REG,NYG,DAL,00-0026858,G.Gano,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,NYJ,BUF,00-0027114,T.Morstead,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,NYJ,BUF,00-0027723,A.Woods,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,PHI,NE,00-0027865,B.Graham,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,DEN,LV,00-0027872,K.Jackson,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,PIT,SF,00-0027943,P.Peterson,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,NO,TEN,00-0027962,C.Jordan,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,PIT,SF,00-0027969,Ca.Heyward,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,NYJ,BUF,00-0028002,R.Cobb,WR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0
2023,1,REG,CAR,ATL,00-0028008,J.Houston,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,NYG,DAL,00-0028118,T.Taylor,QB,2,2,6,0,0,0,0,0,0,0,0,0,-10,16,0,0
2023,1,REG,NE,PHI,00-0028171,L.Guy,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,CAR,ATL,00-0028872,J.Hekker,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,CLE,CIN,00-0028899,R.McLeod,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,SF,PIT,00-0028924,T.Gipson,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,LV,DEN,00-0029239,B.Bolden,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,SEA,LA,00-0029255,B.Wagner,MLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,DEN,LV,00-0029263,R.Wilson,QB,34,27,177,2,0,1,1,0,0,0,0,0,137,78,0,0
2023,1,REG,DET,KC,00-0029293,M.Jones,WR,0,0,0,0,0,0,0,0,6,2,8,0,0,0,50,4
2023,1,REG,MIA,LAC,00-0029530,J.Bethel,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,DAL,NYG,00-0029542,S.Gilmore,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,REG,TB,MIN,00-0029562,L.David,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
