season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2022,1,REG,TB,DAL,00-0019596,T.Brady,QB,27,18,212,1,1,2,-1,0,0,0,0,0,305,87,0,0
2022,1,REG,ARI,KC,00-0022824,A.Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,SF,CHI,00-0023252,R.Gould,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,GB,MIN,00-0023459,A.Rodgers,QB,34,22,195,0,1,1,-1,0,0,0,0,0,190,134,0,0
2022,1,REG,ARI,KC,00-0023853,M.Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,NE,MIA,00-0025565,N.Folk,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,GB,MIN,00-0025580,M.Crosby,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,IND,HOU,00-0026143,M.Ryan,QB,50,32,352,1,1,4,12,0,0,0,0,0,313,176,0,0
2022,1,REG,NYJ,BAL,00-0026158,J.Flacco,QB,59,37,309,1,1,1,0,0,0,0,0,0,286,139,0,0
2022,1,REG,BAL,NYJ,00-0026190,C.Campbell,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,KC,ARI,00-0026197,C.Henne,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,LA,BUF,00-0026498,M.Stafford,QB,41,29,240,1,3,1,2,0,0,0,0,0,239,124,0,0
2022,1,REG,NYG,TEN,00-0026858,G.Gano,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,TB,DAL,00-0026968,R.Succop,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,CIN,PIT,00-0027103,K.Huber,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,MIA,NE,00-0027114,T.Morstead,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,NE,MIA,00-0027647,D.McCourty,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,BUF,LA,00-0027648,R.Saffold,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,KC,ARI,00-0027662,C.Dunlap,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,CAR,CLE,00-0027691,A.Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,SEA,DEN,00-0027723,A.Woods,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,SF,CHI,00-0027857,T.Williams,OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,PIT,CIN,00-0027862,T.Alualu,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,REG,PHI,DET,00-0027865,B.Graham,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
