game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2021_01_DAL_TB,2021,1,REG,2021-09-09,TB,DAL,31,29,10,52.5,2
2021_01_PHI_ATL,2021,1,REG,2021-09-12,ATL,PHI,6,32,3.5,49,-26
2021_01_PIT_BUF,2021,1,REG,2021-09-12,BUF,PIT,16,23,6.5,48,-7
2021_01_NYJ_CAR,2021,1,REG,2021-09-12,CAR,NYJ,19,14,3.5,44.5,5
2021_01_MIN_CIN,2021,1,REG,2021-09-12,CIN,MIN,27,24,-3,47,3
2021_01_SF_DET,2021,1,REG,2021-09-12,DET,SF,33,41,-9.5,46,-8
2021_01_JAX_HOU,2021,1,REG,2021-09-12,HOU,JAX,37,21,-3.5,45.5,16
2021_01_SEA_IND,2021,1,REG,2021-09-12,IND,SEA,16,28,-3,49,-12
2021_01_ARI_TEN,2021,1,REG,2021-09-12,TEN,ARI,13,38,2.5,54,-25
2021_01_LAC_WAS,2021,1,REG,2021-09-12,WAS,LAC,16,20,2.5,45.5,-4
2021_01_CLE_KC,2021,1,REG,2021-09-12,KC,CLE,33,29,5.5,54.5,4
2021_01_MIA_NE,2021,1,REG,2021-09-12,NE,MIA,16,17,3.5,43.5,-1
2021_01_GB_NO,2021,1,REG,2021-09-12,NO,GB,38,3,-4,49,35
2021_01_DEN_NYG,2021,1,REG,2021-09-12,NYG,DEN,13,27,-3,41.5,-14
2021_01_CHI_LA,2021,1,REG,2021-09-12,LA,CHI,34,14,9.5,46,20
2021_01_BAL_LV,2021,1,REG,2021-09-13,LV,BAL,33,27,-3,50.5,6
2021_02_NYG_WAS,2021,2,REG,2021-09-16,WAS,NYG,30,29,4,42,1
2021_02_NO_CAR,2021,2,REG,2021-09-19,CAR,NO,26,7,-3,45,19
2021_02_CIN_CHI,2021,2,REG,2021-09-19,CHI,CIN,20,17,2,44.5,3
2021_02_HOU_CLE,2021,2,REG,2021-09-19,CLE,HOU,31,21,13.5,48.5,10
2021_02_LA_IND,2021,2,REG,2021-09-19,IND,LA,24,27,-4,48,-3
2021_02_DEN_JAX,2021,2,REG,2021-09-19,JAX,DEN,13,23,-6,45,-10
2021_02_BUF_MIA,2021,2,REG,2021-09-19,MIA,BUF,0,35,-3.5,48,-35
2021_02_NE_NYJ,2021,2,REG,2021-09-19,NYJ,NE,6,25,-5.5,43,-19
2021_02_SF_PHI,2021,2,REG,2021-09-19,PHI,SF,11,17,-3,49,-6
2021_02_LV_PIT,2021,2,REG,2021-09-19,PIT,LV,17,26,5.5,46.5,-9
2021_02_MIN_ARI,2021,2,REG,2021-09-19,ARI,MIN,34,33,4,51,1
2021_02_ATL_TB,2021,2,REG,2021-09-19,TB,ATL,48,25,13.5,52,23
2021_02_DAL_LAC,2021,2,REG,2021-09-19,LAC,DAL,17,20,3,55,-3
2021_02_TEN_SEA,2021,2,REG,2021-09-19,SEA,TEN,30,33,6.5,53.5,-3
2021_02_KC_BAL,2021,2,REG,2021-09-19,BAL,KC,36,35,-3.5,53.5,1
2021_02_DET_GB,2021,2,REG,2021-09-20,GB,DET,35,17,11.5,49.5,18
2021_03_CAR_HOU,2021,3,REG,2021-09-23,HOU,CAR,9,24,-8,43,-15
2021_03_WAS_BUF,2021,3,REG,2021-09-26,BUF,WAS,43,21,7.5,45.5,22
2021_03_CHI_CLE,2021,3,REG,2021-09-26,CLE,CHI,26,6,7.5,45,20
2021_03_BAL_DET,2021,3,REG,2021-09-26,DET,BAL,17,19,-7.5,51,-2
2021_03_ARI_JAX,2021,3,REG,2021-09-26,JAX,ARI,19,31,-8,51.5,-12
2021_03_LAC_KC,2021,3,REG,2021-09-26,KC,LAC,24,30,6.5,55,-6
2021_03_NO_NE,2021,3,REG,2021-09-26,NE,NO,13,28,3,44,-15
2021_03_ATL_NYG,2021,3,REG,2021-09-26,NYG,ATL,14,17,3,48,-3
2021_03_CIN_PIT,2021,3,REG,2021-09-26,PIT,CIN,10,24,2.5,42.5,-14
2021_03_IND_TEN,2021,3,REG,2021-09-26,TEN,IND,25,16,4.5,47,9
2021_03_NYJ_DEN,2021,3,REG,2021-09-26,DEN,NYJ,26,0,10.5,42,26
2021_03_MIA_LV,2021,3,REG,2021-09-26,LV,MIA,31,28,4,45,3
2021_03_TB_LA,2021,3,REG,2021-09-26,LA,TB,34,24,-1,55,10
2021_03_SEA_MIN,2021,3,REG,2021-09-26,MIN,SEA,30,17,-2,53.5,13
2021_03_GB_SF,2021,3,REG,2021-09-26,SF,GB,28,30,3.5,50.5,-2
2021_03_PHI_DAL,2021,3,REG,2021-09-27,DAL,PHI,41,21,3.5,51.5,20
2021_04_JAX_CIN,2021,4,REG,2021-09-30,CIN,JAX,24,21,7.5,46,3
2021_04_WAS_ATL,2021,4,REG,2021-10-03,ATL,WAS,30,34,-1,47.5,-4
2021_04_HOU_BUF,2021,4,REG,2021-10-03,BUF,HOU,40,0,19,47.5,40
2021_04_DET_CHI,2021,4,REG,2021-10-03,CHI,DET,24,14,3,42,10
2021_04_CAR_DAL,2021,4,REG,2021-10-03,DAL,CAR,36,28,4.5,51.5,8
2021_04_IND_MIA,2021,4,REG,2021-10-03,MIA,IND,17,27,2.5,41.5,-10
2021_04_CLE_MIN,2021,4,REG,2021-10-03,MIN,CLE,7,14,-1,52,-7
2021_04_NYG_NO,2021,4,REG,2021-10-03,NO,NYG,21,27,7.5,43,-6
2021_04_TEN_NYJ,2021,4,REG,2021-10-03,NYJ,TEN,27,24,-5.5,44.5,3
2021_04_KC_PHI,2021,4,REG,2021-10-03,PHI,KC,30,42,-7.5,53.5,-12
2021_04_ARI_LA,2021,4,REG,2021-10-03,LA,ARI,20,37,3.5,53.5,-17
2021_04_SEA_SF,2021,4,REG,2021-10-03,SF,SEA,21,28,2.5,52,-7
2021_04_BAL_DEN,2021,4,REG,2021-10-03,DEN,BAL,7,23,1,44,-16
2021_04_PIT_GB,2021,4,REG,2021-10-03,GB,PIT,27,17,6.5,45,10
2021_04_TB_NE,2021,4,REG,2021-10-03,NE,TB,17,19,-6,49.5,-2
2021_04_LV_LAC,2021,4,REG,2021-10-04,LAC,LV,28,14,3,52,14
2021_05_LA_SEA,2021,5,REG,2021-10-07,SEA,LA,17,26,-2.5,53.5,-9
2021_05_NYJ_ATL,2021,5,REG,2021-10-10,ATL,NYJ,27,20,3,45.5,7
2021_05_PHI_CAR,2021,5,REG,2021-10-10,CAR,PHI,18,21,2.5,46,-3
2021_05_GB_CIN,2021,5,REG,2021-10-10,CIN,GB,22,25,-2,50,-3
2021_05_NE_HOU,2021,5,REG,2021-10-10,HOU,NE,22,25,-8,39.5,-3
2021_05_TEN_JAX,2021,5,REG,2021-10-10,JAX,TEN,19,37,-4,49,-18
2021_05_DET_MIN,2021,5,REG,2021-10-10,MIN,DET,19,17,10,49.5,2
2021_05_DEN_PIT,2021,5,REG,2021-10-10,PIT,DEN,27,19,-2,40,8
2021_05_MIA_TB,2021,5,REG,2021-10-10,TB,MIA,45,17,11,48,28
2021_05_NO_WAS,2021,5,REG,2021-10-10,WAS,NO,22,33,-2.5,43.5,-11
2021_05_CLE_LAC,2021,5,REG,2021-10-10,LAC,CLE,47,42,2.5,46.5,5
2021_05_CHI_LV,2021,5,REG,2021-10-10,LV,CHI,9,20,5.5,46,-11
2021_05_SF_ARI,2021,5,REG,2021-10-10,ARI,SF,17,10,6,48.5,7
2021_05_NYG_DAL,2021,5,REG,2021-10-10,DAL,NYG,44,20,7.5,53,24
2021_05_BUF_KC,2021,5,REG,2021-10-10,KC,BUF,20,38,2.5,57,-18
2021_05_IND_BAL,2021,5,REG,2021-10-11,BAL,IND,31,25,7.5,46.5,6
2021_06_TB_PHI,2021,6,REG,2021-10-14,PHI,TB,22,28,-7,53,-6
2021_06_MIA_JAX,2021,6,REG,2021-10-17,JAX,MIA,23,20,-2.5,47.5,3
2021_06_LAC_BAL,2021,6,REG,2021-10-17,BAL,LAC,34,6,3,50.5,28
2021_06_MIN_CAR,2021,6,REG,2021-10-17,CAR,MIN,28,34,-2.5,45.5,-6
2021_06_GB_CHI,2021,6,REG,2021-10-17,CHI,GB,14,24,-5.5,44,-10
2021_06_CIN_DET,2021,6,REG,2021-10-17,DET,CIN,11,34,-3.5,46.5,-23
2021_06_HOU_IND,2021,6,REG,2021-10-17,IND,HOU,31,3,10.5,43.5,28
2021_06_LA_NYG,2021,6,REG,2021-10-17,NYG,LA,11,38,-7.5,49.5,-27
2021_06_KC_WAS,2021,6,REG,2021-10-17,WAS,KC,13,31,-6,54,-18
2021_06_ARI_CLE,2021,6,REG,2021-10-17,CLE,ARI,14,37,3,48,-23
2021_06_LV_DEN,2021,6,REG,2021-10-17,DEN,LV,24,34,5,45.5,-10
2021_06_DAL_NE,2021,6,REG,2021-10-17,NE,DAL,29,35,-3.5,50.5,-6
2021_06_SEA_PIT,2021,6,REG,2021-10-17,PIT,SEA,23,20,5.5,43,3
2021_06_BUF_TEN,2021,6,REG,2021-10-18,TEN,BUF,34,31,-6,53.5,3
2021_07_DEN_CLE,2021,7,REG,2021-10-21,CLE,DEN,17,14,2,40.5,3
2021_07_CIN_BAL,2021,7,REG,2021-10-24,BAL,CIN,17,41,6.5,45.5,-24
2021_07_WAS_GB,2021,7,REG,2021-10-24,GB,WAS,24,10,8.5,48,14
2021_07_ATL_MIA,2021,7,REG,2021-10-24,MIA,ATL,28,30,-1.5,48.5,-2
2021_07_NYJ_NE,2021,7,REG,2021-10-24,NE,NYJ,54,13,7,43,41
2021_07_CAR_NYG,2021,7,REG,2021-10-24,NYG,CAR,25,3,-3,42.5,22
2021_07_KC_TEN,2021,7,REG,2021-10-24,TEN,KC,27,3,-4,57.5,24
2021_07_DET_LA,2021,7,REG,2021-10-24,LA,DET,28,19,17,51,9
2021_07_PHI_LV,2021,7,REG,2021-10-24,LV,PHI,33,22,1,48,11
2021_07_HOU_ARI,2021,7,REG,2021-10-24,ARI,HOU,31,5,20.5,47,26
2021_07_CHI_TB,2021,7,REG,2021-10-24,TB,CHI,38,3,12.5,47,35
2021_07_IND_SF,2021,7,REG,2021-10-24,SF,IND,18,30,3.5,41.5,-12
2021_07_NO_SEA,2021,7,REG,2021-10-25,SEA,NO,10,13,-6,42,-3
2021_08_GB_ARI,2021,8,REG,2021-10-28,ARI,GB,21,24,6.5,51,-3
2021_08_CAR_ATL,2021,8,REG,2021-10-31,ATL,CAR,13,19,2.5,47,-6
2021_08_MIA_BUF,2021,8,REG,2021-10-31,BUF,MIA,26,11,15,48.5,15
