game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2022_01_BUF_LA,2022,1,REG,2022-09-08,LA,BUF,10,31,-1,51.5,-21
2022_01_NO_ATL,2022,1,REG,2022-09-11,ATL,NO,26,27,-6,43.5,-1
2022_01_CLE_CAR,2022,1,REG,2022-09-11,CAR,CLE,24,26,2.5,42.5,-2
2022_01_SF_CHI,2022,1,REG,2022-09-11,CHI,SF,19,10,-6.5,38,9
2022_01_PIT_CIN,2022,1,REG,2022-09-11,CIN,PIT,20,23,7.5,44.5,-3
2022_01_PHI_DET,2022,1,REG,2022-09-11,DET,PHI,35,38,-6,49,-3
2022_01_IND_HOU,2022,1,REG,2022-09-11,HOU,IND,20,20,-7,46,0
2022_01_NE_MIA,2022,1,REG,2022-09-11,MIA,NE,20,7,3,47,13
2022_01_BAL_NYJ,2022,1,REG,2022-09-11,NYJ,BAL,9,24,-6.5,44,-15
2022_01_JAX_WAS,2022,1,REG,2022-09-11,WAS,JAX,28,22,3,43.5,6
2022_01_KC_ARI,2022,1,REG,2022-09-11,ARI,KC,21,44,-6,54,-23
2022_01_LV_LAC,2022,1,REG,2022-09-11,LAC,LV,24,19,3.5,52.5,5
2022_01_GB_MIN,2022,1,REG,2022-09-11,MIN,GB,23,7,2.5,47,16
2022_01_NYG_TEN,2022,1,REG,2022-09-11,TEN,NYG,20,21,5.5,43.5,-1
2022_01_TB_DAL,2022,1,REG,2022-09-11,DAL,TB,3,19,-2.5,49.5,-16
2022_01_DEN_SEA,2022,1,REG,2022-09-12,SEA,DEN,17,16,-6,44,1
2022_02_LAC_KC,2022,2,REG,2022-09-15,KC,LAC,27,24,4,52.5,3
2022_02_MIA_BAL,2022,2,REG,2022-09-18,BAL,MIA,38,42,3,44,-4
2022_02_NYJ_CLE,2022,2,REG,2022-09-18,CLE,NYJ,30,31,6.5,38.5,-1
2022_02_WAS_DET,2022,2,REG,2022-09-18,DET,WAS,36,27,-1,48.5,9
2022_02_IND_JAX,2022,2,REG,2022-09-18,JAX,IND,24,0,-3,43.5,24
2022_02_TB_NO,2022,2,REG,2022-09-18,NO,TB,10,20,-2.5,44,-10
2022_02_CAR_NYG,2022,2,REG,2022-09-18,NYG,CAR,19,16,-1,44,3
2022_02_NE_PIT,2022,2,REG,2022-09-18,PIT,NE,14,17,-3,40,-3
2022_02_ATL_LA,2022,2,REG,2022-09-18,LA,ATL,31,27,10.5,46.5,4
2022_02_SEA_SF,2022,2,REG,2022-09-18,SF,SEA,27,7,8.5,40,20
2022_02_CIN_DAL,2022,2,REG,2022-09-18,DAL,CIN,20,17,-7.5,42,3
2022_02_HOU_DEN,2022,2,REG,2022-09-18,DEN,HOU,16,9,10.5,46,7
2022_02_ARI_LV,2022,2,REG,2022-09-18,LV,ARI,23,29,5.5,51.5,-6
2022_02_CHI_GB,2022,2,REG,2022-09-18,GB,CHI,27,10,10.5,42,17
2022_02_TEN_BUF,2022,2,REG,2022-09-19,BUF,TEN,41,7,10,47.5,34
2022_02_MIN_PHI,2022,2,REG,2022-09-19,PHI,MIN,24,7,2.5,49.5,17
2022_03_PIT_CLE,2022,3,REG,2022-09-22,CLE,PIT,29,17,4.5,38,12
2022_03_NO_CAR,2022,3,REG,2022-09-25,CAR,NO,22,14,-2,41,8
2022_03_HOU_CHI,2022,3,REG,2022-09-25,CHI,HOU,23,20,3,40,3
2022_03_KC_IND,2022,3,REG,2022-09-25,IND,KC,20,17,-4.5,51,3
2022_03_BUF_MIA,2022,3,REG,2022-09-25,MIA,BUF,21,19,-4,54,2
2022_03_DET_MIN,2022,3,REG,2022-09-25,MIN,DET,28,24,6.5,52,4
2022_03_BAL_NE,2022,3,REG,2022-09-25,NE,BAL,26,37,-2.5,45.5,-11
2022_03_CIN_NYJ,2022,3,REG,2022-09-25,NYJ,CIN,12,27,-6.5,46,-15
2022_03_LV_TEN,2022,3,REG,2022-09-25,TEN,LV,24,22,-1.5,45.5,2
2022_03_PHI_WAS,2022,3,REG,2022-09-25,WAS,PHI,8,24,-6,47,-16
2022_03_JAX_LAC,2022,3,REG,2022-09-25,LAC,JAX,10,38,6.5,46,-28
2022_03_LA_ARI,2022,3,REG,2022-09-25,ARI,LA,12,20,-3.5,49,-8
2022_03_ATL_SEA,2022,3,REG,2022-09-25,SEA,ATL,23,27,1,43,-4
2022_03_GB_TB,2022,3,REG,2022-09-25,TB,GB,12,14,1,41.5,-2
2022_03_SF_DEN,2022,3,REG,2022-09-25,DEN,SF,11,10,-1,44,1
2022_03_DAL_NYG,2022,3,REG,2022-09-26,NYG,DAL,16,23,1,38.5,-7
2022_04_MIA_CIN,2022,4,REG,2022-09-29,CIN,MIA,27,15,4,48.5,12
2022_04_MIN_NO,2022,4,REG,2022-10-02,NO,MIN,25,28,-4,42,-3
2022_04_CLE_ATL,2022,4,REG,2022-10-02,ATL,CLE,23,20,-1,48,3
2022_04_BUF_BAL,2022,4,REG,2022-10-02,BAL,BUF,20,23,-3,50,-3
2022_04_WAS_DAL,2022,4,REG,2022-10-02,DAL,WAS,25,10,3,40.5,15
2022_04_SEA_DET,2022,4,REG,2022-10-02,DET,SEA,45,48,3,48.5,-3
2022_04_LAC_HOU,2022,4,REG,2022-10-02,HOU,LAC,24,34,-5.5,45,-10
2022_04_TEN_IND,2022,4,REG,2022-10-02,IND,TEN,17,24,4.5,43,-7
2022_04_CHI_NYG,2022,4,REG,2022-10-02,NYG,CHI,20,12,3,39,8
2022_04_JAX_PHI,2022,4,REG,2022-10-02,PHI,JAX,29,21,6.5,44,8
2022_04_NYJ_PIT,2022,4,REG,2022-10-02,PIT,NYJ,20,24,3,41,-4
2022_04_ARI_CAR,2022,4,REG,2022-10-02,CAR,ARI,16,26,1,44,-10
2022_04_NE_GB,2022,4,REG,2022-10-02,GB,NE,27,24,10,40.5,3
2022_04_DEN_LV,2022,4,REG,2022-10-02,LV,DEN,32,23,2.5,45.5,9
2022_04_KC_TB,2022,4,REG,2022-10-02,TB,KC,31,41,1,46.5,-10
2022_04_LA_SF,2022,4,REG,2022-10-03,SF,LA,24,9,1,42,15
2022_05_IND_DEN,2022,5,REG,2022-10-06,DEN,IND,9,12,3.5,42,-3
2022_05_NYG_GB,2022,5,REG,2022-10-09,GB,NYG,22,27,8.5,42,-5
2022_05_PIT_BUF,2022,5,REG,2022-10-09,BUF,PIT,38,3,14,44,35
2022_05_LAC_CLE,2022,5,REG,2022-10-09,CLE,LAC,28,30,-1,47,-2
2022_05_HOU_JAX,2022,5,REG,2022-10-09,JAX,HOU,6,13,7,44,-7
2022_05_CHI_MIN,2022,5,REG,2022-10-09,MIN,CHI,29,22,10,44,7
2022_05_DET_NE,2022,5,REG,2022-10-09,NE,DET,29,0,3,46.5,29
2022_05_SEA_NO,2022,5,REG,2022-10-09,NO,SEA,39,32,5.5,45.5,7
2022_05_MIA_NYJ,2022,5,REG,2022-10-09,NYJ,MIA,40,17,-3,46,23
2022_05_ATL_TB,2022,5,REG,2022-10-09,TB,ATL,21,15,10.5,46,6
2022_05_TEN_WAS,2022,5,REG,2022-10-09,WAS,TEN,17,21,-1,43,-4
2022_05_SF_CAR,2022,5,REG,2022-10-09,CAR,SF,15,37,-6,40,-22
2022_05_PHI_ARI,2022,5,REG,2022-10-09,ARI,PHI,17,20,-5.5,48.5,-3
2022_05_DAL_LA,2022,5,REG,2022-10-09,LA,DAL,10,22,5.5,42,-12
2022_05_CIN_BAL,2022,5,REG,2022-10-09,BAL,CIN,19,17,3,47.5,2
2022_05_LV_KC,2022,5,REG,2022-10-10,KC,LV,30,29,7.5,51.5,1
2022_06_WAS_CHI,2022,6,REG,2022-10-13,CHI,WAS,7,12,-1,38.5,-5
2022_06_SF_ATL,2022,6,REG,2022-10-16,ATL,SF,28,14,-3.5,46,14
2022_06_NE_CLE,2022,6,REG,2022-10-16,CLE,NE,15,38,2.5,43,-23
2022_06_NYJ_GB,2022,6,REG,2022-10-16,GB,NYJ,10,27,7.5,44.5,-17
2022_06_JAX_IND,2022,6,REG,2022-10-16,IND,JAX,34,27,1,41,7
2022_06_MIN_MIA,2022,6,REG,2022-10-16,MIA,MIN,16,24,-3,45,-8
2022_06_CIN_NO,2022,6,REG,2022-10-16,NO,CIN,26,30,-3,42.5,-4
2022_06_BAL_NYG,2022,6,REG,2022-10-16,NYG,BAL,24,20,-5.5,46,4
2022_06_TB_PIT,2022,6,REG,2022-10-16,PIT,TB,20,18,-10,47,2
2022_06_CAR_LA,2022,6,REG,2022-10-16,LA,CAR,24,10,10,41.5,14
2022_06_ARI_SEA,2022,6,REG,2022-10-16,SEA,ARI,19,9,-2.5,50,10
2022_06_BUF_KC,2022,6,REG,2022-10-16,KC,BUF,20,24,-2.5,54,-4
2022_06_DAL_PHI,2022,6,REG,2022-10-16,PHI,DAL,26,17,6.5,42.5,9
2022_06_DEN_LAC,2022,6,REG,2022-10-17,LAC,DEN,19,16,3.5,45.5,3
2022_07_NO_ARI,2022,7,REG,2022-10-20,ARI,NO,42,34,2.5,44,8
2022_07_CLE_BAL,2022,7,REG,2022-10-23,BAL,CLE,23,20,6.5,46,3
2022_07_TB_CAR,2022,7,REG,2022-10-23,CAR,TB,21,3,-13,39.5,18
2022_07_ATL_CIN,2022,7,REG,2022-10-23,CIN,ATL,35,17,6.5,47.5,18
2022_07_DET_DAL,2022,7,REG,2022-10-23,DAL,DET,24,6,7,49.5,18
2022_07_NYG_JAX,2022,7,REG,2022-10-23,JAX,NYG,17,23,3,44,-6
2022_07_IND_TEN,2022,7,REG,2022-10-23,TEN,IND,19,10,2.5,43,9
2022_07_GB_WAS,2022,7,REG,2022-10-23,WAS,GB,23,21,-4,41.5,2
2022_07_NYJ_DEN,2022,7,REG,2022-10-23,DEN,NYJ,9,16,-2,37,-7
2022_07_HOU_LV,2022,7,REG,2022-10-23,LV,HOU,38,20,7,46,18
2022_07_SEA_LAC,2022,7,REG,2022-10-23,LAC,SEA,23,37,5.5,51.5,-14
2022_07_KC_SF,2022,7,REG,2022-10-23,SF,KC,23,44,-1,49,-21
2022_07_PIT_MIA,2022,7,REG,2022-10-23,MIA,PIT,16,10,7.5,44.5,6
2022_07_CHI_NE,2022,7,REG,2022-10-24,NE,CHI,14,33,9.5,40,-19
2022_08_BAL_TB,2022,8,REG,2022-10-27,TB,BAL,22,27,2,46,-5
2022_08_DEN_JAX,2022,8,REG,2022-10-30,JAX,DEN,17,21,1,41,-4
2022_08_CAR_ATL,2022,8,REG,2022-10-30,ATL,CAR,37,34,4.5,41,3
2022_08_CHI_DAL,2022,8,REG,2022-10-30,DAL,CHI,49,29,10.5,43,20
2022_08_MIA_DET,2022,8,REG,2022-10-30,DET,MIA,27,31,-3.5,52,-4
2022_08_ARI_MIN,2022,8,REG,2022-10-30,MIN,ARI,34,26,4,48.5,8
2022_08_LV_NO,2022,8,REG,2022-10-30,NO,LV,24,0,-1,48.5,24
2022_08_NE_NYJ,2022,8,REG,2022-10-30,NYJ,NE,17,22,-3,40,-5
2022_08_PIT_PHI,2022,8,REG,2022-10-30,PHI,PIT,35,13,11,43,22
2022_08_TEN_HOU,2022,8,REG,2022-10-30,HOU,TEN,10,17,-1,39,-7
2022_08_WAS_IND,2022,8,REG,2022-10-30,IND,WAS,16,17,3,40.5,-1
2022_08_SF_LA,2022,8,REG,2022-10-30,LA,SF,14,31,-1,42,-17
2022_08_NYG_SEA,2022,8,REG,2022-10-30,SEA,NYG,27,13,3,44.5,14
2022_08_GB_BUF,2022,8,REG,2022-10-30,BUF,GB,27,17,10.5,47,10
2022_08_CIN_CLE,2022,8,REG,2022-10-31,CLE,CIN,32,13,-3,45,19
2022_09_PHI_HOU,2022,9,REG,2022-11-03,HOU,PHI,17,29,-14,45.5,-12
2022_09_LAC_ATL,2022,9,REG,2022-11-06,ATL,LAC,17,20,-2.5,49.5,-3
2022_09_MIA_CHI,2022,9,REG,2022-11-06,CHI,MIA,32,35,-4,46,-3
2022_09_CAR_CIN,2022,9,REG,2022-11-06,CIN,CAR,42,21,7,43,21
2022_09_GB_DET,2022,9,REG,2022-11-06,DET,GB,15,9,-4,49.5,6
2022_09_LV_JAX,2022,9,REG,2022-11-06,JAX,LV,27,20,-2.5,47.5,7
2022_09_IND_NE,2022,9,REG,2022-11-06,NE,IND,26,3,5,40,23
2022_09_BUF_NYJ,2022,9,REG,2022-11-06,NYJ,BUF,20,17,-11,46,3
2022_09_MIN_WAS,2022,9,REG,2022-11-06,WAS,MIN,17,20,-3,43.5,-3
2022_09_SEA_ARI,2022,9,REG,2022-11-06,ARI,SEA,21,31,1.5,49.5,-10
2022_09_LA_TB,2022,9,REG,2022-11-06,TB,LA,16,13,3,43,3
2022_09_TEN_KC,2022,9,REG,2022-11-06,KC,TEN,20,17,14,45,3
2022_09_BAL_NO,2022,9,REG,2022-11-07,NO,BAL,13,27,-1,46,-14
2022_10_ATL_CAR,2022,10,REG,2022-11-10,CAR,ATL,25,15,-2.5,41.5,10
2022_10_SEA_TB,2022,10,REG,2022-11-13,TB,SEA,21,16,2.5,45,5
2022_10_MIN_BUF,2022,10,REG,2022-11-13,BUF,MIN,30,33,6.5,47,-3
2022_10_DET_CHI,2022,10,REG,2022-11-13,CHI,DET,30,31,3,48.5,-1
2022_10_JAX_KC,2022,10,REG,2022-11-13,KC,JAX,27,17,10,51.5,10
2022_10_CLE_MIA,2022,10,REG,2022-11-13,MIA,CLE,39,17,3,49,22
2022_10_HOU_NYG,2022,10,REG,2022-11-13,NYG,HOU,24,16,5.5,41.5,8
2022_10_NO_PIT,2022,10,REG,2022-11-13,PIT,NO,20,10,1,39.5,10
2022_10_DEN_TEN,2022,10,REG,2022-11-13,TEN,DEN,17,10,2.5,40,7
2022_10_IND_LV,2022,10,REG,2022-11-13,LV,IND,20,25,4.5,41,-5
2022_10_DAL_GB,2022,10,REG,2022-11-13,GB,DAL,31,28,-3.5,44.5,3
2022_10_ARI_LA,2022,10,REG,2022-11-13,LA,ARI,17,27,3.5,38,-10
2022_10_LAC_SF,2022,10,REG,2022-11-13,SF,LAC,22,16,8.5,45.5,6
2022_10_WAS_PHI,2022,10,REG,2022-11-14,PHI,WAS,21,32,11,43,-11
2022_11_TEN_GB,2022,11,REG,2022-11-17,GB,TEN,17,27,3,40.5,-10
2022_11_CHI_ATL,2022,11,REG,2022-11-20,ATL,CHI,27,24,3,48.5,3
2022_11_CAR_BAL,2022,11,REG,2022-11-20,BAL,CAR,13,3,13,42,10
2022_11_CLE_BUF,2022,11,REG,2022-11-20,BUF,CLE,31,23,7.5,50.5,8
2022_11_WAS_HOU,2022,11,REG,2022-11-20,HOU,WAS,10,23,-3,41,-13
2022_11_PHI_IND,2022,11,REG,2022-11-20,IND,PHI,16,17,-6.5,45.5,-1
2022_11_NYJ_NE,2022,11,REG,2022-11-20,NE,NYJ,10,3,3.5,38.5,7
2022_11_LA_NO,2022,11,REG,2022-11-20,NO,LA,27,20,2.5,39.5,7
2022_11_DET_NYG,2022,11,REG,2022-11-20,NYG,DET,18,31,3,44,-13
2022_11_LV_DEN,2022,11,REG,2022-11-20,DEN,LV,16,22,2.5,41.5,-6
2022_11_DAL_MIN,2022,11,REG,2022-11-20,MIN,DAL,3,40,-1.5,48.5,-37
2022_11_CIN_PIT,2022,11,REG,2022-11-20,PIT,CIN,30,37,-3.5,39,-7
2022_11_KC_LAC,2022,11,REG,2022-11-20,LAC,KC,27,30,-5.5,52.5,-3
2022_11_SF_ARI,2022,11,REG,2022-11-21,ARI,SF,10,38,-10,43.5,-28
2022_12_BUF_DET,2022,12,REG,2022-11-24,DET,BUF,25,28,-10,54,-3
2022_12_NYG_DAL,2022,12,REG,2022-11-24,DAL,NYG,28,20,10.5,45.5,8
2022_12_NE_MIN,2022,12,REG,2022-11-24,MIN,NE,33,26,2.5,42.5,7
2022_12_DEN_CAR,2022,12,REG,2022-11-27,CAR,DEN,23,10,-1,36.5,13
2022_12_TB_CLE,2022,12,REG,2022-11-27,CLE,TB,23,17,-3,42,6
2022_12_BAL_JAX,2022,12,REG,2022-11-27,JAX,BAL,28,27,-3.5,43,1
2022_12_HOU_MIA,2022,12,REG,2022-11-27,MIA,HOU,30,15,14,47,15
