game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2019_01_GB_CHI,2019,1,REG,2019-09-05,CHI,GB,3,10,3.5,47,-7
2019_01_LA_CAR,2019,1,REG,2019-09-08,CAR,LA,27,30,-1.5,49.5,-3
2019_01_TEN_CLE,2019,1,REG,2019-09-08,CLE,TEN,13,43,5.5,44,-30
2019_01_KC_JAX,2019,1,REG,2019-09-08,JAX,KC,26,40,-3.5,49,-14
2019_01_BAL_MIA,2019,1,REG,2019-09-08,MIA,BAL,10,59,-7,41,-49
2019_01_ATL_MIN,2019,1,REG,2019-09-08,MIN,ATL,28,12,3.5,47,16
2019_01_BUF_NYJ,2019,1,REG,2019-09-08,NYJ,BUF,16,17,2.5,41,-1
2019_01_WAS_PHI,2019,1,REG,2019-09-08,PHI,WAS,32,27,10.5,44,5
2019_01_IND_LAC,2019,1,REG,2019-09-08,LAC,IND,30,24,6,44.5,6
2019_01_CIN_SEA,2019,1,REG,2019-09-08,SEA,CIN,21,20,9.5,44,1
2019_01_DET_ARI,2019,1,REG,2019-09-08,ARI,DET,27,27,-2.5,45.5,0
2019_01_NYG_DAL,2019,1,REG,2019-09-08,DAL,NYG,35,17,7,44,18
2019_01_SF_TB,2019,1,REG,2019-09-08,TB,SF,17,31,1,51,-14
2019_01_PIT_NE,2019,1,REG,2019-09-08,NE,PIT,33,3,5.5,49,30
2019_01_HOU_NO,2019,1,REG,2019-09-09,NO,HOU,30,28,6.5,52,2
2019_01_DEN_OAK,2019,1,REG,2019-09-09,OAK,DEN,24,16,-3,42.5,8
2019_02_TB_CAR,2019,2,REG,2019-09-12,CAR,TB,14,20,6.5,48,-6
2019_02_ARI_BAL,2019,2,REG,2019-09-15,BAL,ARI,23,17,13,46,6
2019_02_SF_CIN,2019,2,REG,2019-09-15,CIN,SF,17,41,1,46,-24
2019_02_LAC_DET,2019,2,REG,2019-09-15,DET,LAC,13,10,-1,47,3
2019_02_MIN_GB,2019,2,REG,2019-09-15,GB,MIN,21,16,3,43,5
2019_02_JAX_HOU,2019,2,REG,2019-09-15,HOU,JAX,13,12,7.5,43,1
2019_02_NE_MIA,2019,2,REG,2019-09-15,MIA,NE,0,43,-18,48.5,-43
2019_02_BUF_NYG,2019,2,REG,2019-09-15,NYG,BUF,14,28,-1,44.5,-14
2019_02_SEA_PIT,2019,2,REG,2019-09-15,PIT,SEA,26,28,4,47,-2
2019_02_IND_TEN,2019,2,REG,2019-09-15,TEN,IND,17,19,3,43.5,-2
2019_02_DAL_WAS,2019,2,REG,2019-09-15,WAS,DAL,21,31,-6,46.5,-10
2019_02_KC_OAK,2019,2,REG,2019-09-15,OAK,KC,10,28,-7,53.5,-18
2019_02_CHI_DEN,2019,2,REG,2019-09-15,DEN,CHI,14,16,-3,41,-2
2019_02_NO_LA,2019,2,REG,2019-09-15,LA,NO,27,9,2,52.5,18
2019_02_PHI_ATL,2019,2,REG,2019-09-15,ATL,PHI,24,20,-1,53,4
2019_02_CLE_NYJ,2019,2,REG,2019-09-16,NYJ,CLE,3,23,-6.5,45.5,-20
2019_03_TEN_JAX,2019,3,REG,2019-09-19,JAX,TEN,20,7,-1.5,38,13
2019_03_CIN_BUF,2019,3,REG,2019-09-22,BUF,CIN,21,17,5.5,43.5,4
2019_03_MIA_DAL,2019,3,REG,2019-09-22,DAL,MIA,31,6,22,46.5,25
2019_03_DEN_GB,2019,3,REG,2019-09-22,GB,DEN,27,16,7,42,11
2019_03_ATL_IND,2019,3,REG,2019-09-22,IND,ATL,27,24,1,48,3
2019_03_BAL_KC,2019,3,REG,2019-09-22,KC,BAL,33,28,4.5,52,5
2019_03_OAK_MIN,2019,3,REG,2019-09-22,MIN,OAK,34,14,8.5,43,20
2019_03_NYJ_NE,2019,3,REG,2019-09-22,NE,NYJ,30,14,20.5,43,16
2019_03_DET_PHI,2019,3,REG,2019-09-22,PHI,DET,24,27,4,45,-3
2019_03_CAR_ARI,2019,3,REG,2019-09-22,ARI,CAR,20,38,2.5,46,-18
2019_03_NYG_TB,2019,3,REG,2019-09-22,TB,NYG,31,32,5,48,-1
2019_03_HOU_LAC,2019,3,REG,2019-09-22,LAC,HOU,20,27,3,49,-7
2019_03_NO_SEA,2019,3,REG,2019-09-22,SEA,NO,27,33,5,44,-6
2019_03_PIT_SF,2019,3,REG,2019-09-22,SF,PIT,24,20,6,44.5,4
2019_03_LA_CLE,2019,3,REG,2019-09-22,CLE,LA,13,20,-4,48,-7
2019_03_CHI_WAS,2019,3,REG,2019-09-23,WAS,CHI,15,31,-5,41,-16
2019_04_PHI_GB,2019,4,REG,2019-09-26,GB,PHI,27,34,3.5,46,-7
2019_04_TEN_ATL,2019,4,REG,2019-09-29,ATL,TEN,10,24,3.5,46,-14
2019_04_CLE_BAL,2019,4,REG,2019-09-29,BAL,CLE,25,40,7.5,47,-15
2019_04_NE_BUF,2019,4,REG,2019-09-29,BUF,NE,10,16,-7,41.5,-6
2019_04_KC_DET,2019,4,REG,2019-09-29,DET,KC,30,34,-7.5,54.5,-4
2019_04_CAR_HOU,2019,4,REG,2019-09-29,HOU,CAR,10,16,5.5,47.5,-6
2019_04_OAK_IND,2019,4,REG,2019-09-29,IND,OAK,24,31,5.5,46,-7
2019_04_LAC_MIA,2019,4,REG,2019-09-29,MIA,LAC,10,30,-15,43.5,-20
2019_04_WAS_NYG,2019,4,REG,2019-09-29,NYG,WAS,24,3,3,48,21
2019_04_SEA_ARI,2019,4,REG,2019-09-29,ARI,SEA,10,27,-5.5,49,-17
2019_04_TB_LA,2019,4,REG,2019-09-29,LA,TB,40,55,9,48.5,-15
2019_04_MIN_CHI,2019,4,REG,2019-09-29,CHI,MIN,16,6,-1,38,10
2019_04_JAX_DEN,2019,4,REG,2019-09-29,DEN,JAX,24,26,2.5,37,-2
2019_04_DAL_NO,2019,4,REG,2019-09-29,NO,DAL,12,10,-2.5,47,2
2019_04_CIN_PIT,2019,4,REG,2019-09-30,PIT,CIN,27,3,3.5,45.5,24
2019_05_LA_SEA,2019,5,REG,2019-10-03,SEA,LA,30,29,1.5,49,1
2019_05_JAX_CAR,2019,5,REG,2019-10-06,CAR,JAX,34,27,3,41,7
2019_05_ARI_CIN,2019,5,REG,2019-10-06,CIN,ARI,23,26,3,45,-3
2019_05_ATL_HOU,2019,5,REG,2019-10-06,HOU,ATL,53,32,4,49,21
2019_05_TB_NO,2019,5,REG,2019-10-06,NO,TB,31,24,3,46,7
2019_05_MIN_NYG,2019,5,REG,2019-10-06,NYG,MIN,10,28,-5.5,44,-18
2019_05_CHI_OAK,2019,5,REG,2019-10-06,OAK,CHI,24,21,-6.5,39.5,3
2019_05_NYJ_PHI,2019,5,REG,2019-10-06,PHI,NYJ,31,6,14,43,25
2019_05_BAL_PIT,2019,5,REG,2019-10-06,PIT,BAL,23,26,-3.5,44,-3
2019_05_BUF_TEN,2019,5,REG,2019-10-06,TEN,BUF,7,14,3.5,39.5,-7
2019_05_NE_WAS,2019,5,REG,2019-10-06,WAS,NE,7,33,-15.5,42,-26
2019_05_DEN_LAC,2019,5,REG,2019-10-06,LAC,DEN,13,20,4,46,-7
2019_05_GB_DAL,2019,5,REG,2019-10-06,DAL,GB,24,34,3.5,46.5,-10
2019_05_IND_KC,2019,5,REG,2019-10-06,KC,IND,13,19,10.5,55.5,-6
2019_05_CLE_SF,2019,5,REG,2019-10-07,SF,CLE,31,3,5,47.5,28
2019_06_NYG_NE,2019,6,REG,2019-10-10,NE,NYG,35,14,16.5,43,21
2019_06_CAR_TB,2019,6,REG,2019-10-13,TB,CAR,26,37,-2,48.5,-11
2019_06_CIN_BAL,2019,6,REG,2019-10-13,BAL,CIN,23,17,10.5,47,6
2019_06_SEA_CLE,2019,6,REG,2019-10-13,CLE,SEA,28,32,1,45.5,-4
2019_06_NO_JAX,2019,6,REG,2019-10-13,JAX,NO,6,13,2.5,42.5,-7
2019_06_HOU_KC,2019,6,REG,2019-10-13,KC,HOU,24,31,3.5,54.5,-7
2019_06_WAS_MIA,2019,6,REG,2019-10-13,MIA,WAS,16,17,-6,42,-1
2019_06_PHI_MIN,2019,6,REG,2019-10-13,MIN,PHI,38,20,3.5,44,18
2019_06_ATL_ARI,2019,6,REG,2019-10-13,ARI,ATL,34,33,-3,52.5,1
2019_06_SF_LA,2019,6,REG,2019-10-13,LA,SF,7,20,3,49.5,-13
2019_06_TEN_DEN,2019,6,REG,2019-10-13,DEN,TEN,16,0,1,41,16
2019_06_DAL_NYJ,2019,6,REG,2019-10-13,NYJ,DAL,24,22,-7,43.5,2
2019_06_PIT_LAC,2019,6,REG,2019-10-13,LAC,PIT,17,24,6,42.5,-7
2019_06_DET_GB,2019,6,REG,2019-10-14,GB,DET,23,22,3.5,47,1
2019_07_KC_DEN,2019,7,REG,2019-10-17,DEN,KC,6,30,-3,49.5,-24
2019_07_LA_ATL,2019,7,REG,2019-10-20,ATL,LA,10,37,-3,54.5,-27
2019_07_MIA_BUF,2019,7,REG,2019-10-20,BUF,MIA,31,21,17,42.5,10
2019_07_JAX_CIN,2019,7,REG,2019-10-20,CIN,JAX,17,27,-4,44.5,-10
2019_07_MIN_DET,2019,7,REG,2019-10-20,DET,MIN,30,42,-2.5,43.5,-12
2019_07_OAK_GB,2019,7,REG,2019-10-20,GB,OAK,42,24,5.5,48,18
2019_07_HOU_IND,2019,7,REG,2019-10-20,IND,HOU,30,23,1.5,46.5,7
2019_07_ARI_NYG,2019,7,REG,2019-10-20,NYG,ARI,21,27,3.5,49.5,-6
2019_07_SF_WAS,2019,7,REG,2019-10-20,WAS,SF,0,9,-10,39,-9
2019_07_LAC_TEN,2019,7,REG,2019-10-20,TEN,LAC,23,20,3,42.5,3
2019_07_NO_CHI,2019,7,REG,2019-10-20,CHI,NO,25,36,4,37,-11
2019_07_BAL_SEA,2019,7,REG,2019-10-20,SEA,BAL,16,30,3,49,-14
2019_07_PHI_DAL,2019,7,REG,2019-10-20,DAL,PHI,37,10,3,50,27
2019_07_NE_NYJ,2019,7,REG,2019-10-21,NYJ,NE,0,33,-9.5,43,-33
2019_08_WAS_MIN,2019,8,REG,2019-10-24,MIN,WAS,19,9,16.5,42,10
2019_08_SEA_ATL,2019,8,REG,2019-10-27,ATL,SEA,20,27,-7.5,48.5,-7
2019_08_PHI_BUF,2019,8,REG,2019-10-27,BUF,PHI,13,31,1,39.5,-18
2019_08_LAC_CHI,2019,8,REG,2019-10-27,CHI,LAC,16,17,3.5,41,-1
2019_08_NYG_DET,2019,8,REG,2019-10-27,DET,NYG,31,26,6.5,49,5
2019_08_DEN_IND,2019,8,REG,2019-10-27,IND,DEN,15,13,6,41,2
2019_08_NYJ_JAX,2019,8,REG,2019-10-27,JAX,NYJ,29,15,7,39.5,14
2019_08_CIN_LA,2019,8,REG,2019-10-27,LA,CIN,24,10,12,48.5,14
2019_08_ARI_NO,2019,8,REG,2019-10-27,NO,ARI,31,9,12.5,47.5,22
2019_08_TB_TEN,2019,8,REG,2019-10-27,TEN,TB,27,23,2,45.5,4
2019_08_CAR_SF,2019,8,REG,2019-10-27,SF,CAR,51,13,4.5,41,38
2019_08_OAK_HOU,2019,8,REG,2019-10-27,HOU,OAK,27,24,5,52,3
2019_08_CLE_NE,2019,8,REG,2019-10-27,NE,CLE,27,13,9.5,43,14
2019_08_GB_KC,2019,8,REG,2019-10-27,KC,GB,24,31,-5,48,-7
2019_08_MIA_PIT,2019,8,REG,2019-10-28,PIT,MIA,27,14,14,44,13
2019_09_SF_ARI,2019,9,REG,2019-10-31,ARI,SF,25,28,-10.5,43.5,-3
2019_09_HOU_JAX,2019,9,REG,2019-11-03,JAX,HOU,3,26,1,46,-23
2019_09_WAS_BUF,2019,9,REG,2019-11-03,BUF,WAS,24,9,10.5,37,15
2019_09_TEN_CAR,2019,9,REG,2019-11-03,CAR,TEN,30,20,3.5,43,10
2019_09_MIN_KC,2019,9,REG,2019-11-03,KC,MIN,26,23,-5.5,46,3
2019_09_NYJ_MIA,2019,9,REG,2019-11-03,MIA,NYJ,26,18,-3.5,42.5,8
2019_09_CHI_PHI,2019,9,REG,2019-11-03,PHI,CHI,22,14,5,41,8
2019_09_IND_PIT,2019,9,REG,2019-11-03,PIT,IND,26,24,1,39.5,2
2019_09_DET_OAK,2019,9,REG,2019-11-03,OAK,DET,31,24,2.5,51.5,7
2019_09_TB_SEA,2019,9,REG,2019-11-03,SEA,TB,40,34,4,51,6
2019_09_CLE_DEN,2019,9,REG,2019-11-03,DEN,CLE,24,19,-4,39,5
2019_09_GB_LAC,2019,9,REG,2019-11-03,LAC,GB,26,11,-4,50,15
2019_09_NE_BAL,2019,9,REG,2019-11-03,BAL,NE,37,20,-3,44.5,17
2019_09_DAL_NYG,2019,9,REG,2019-11-04,NYG,DAL,18,37,-6.5,48.5,-19
2019_10_LAC_OAK,2019,10,REG,2019-11-07,OAK,LAC,26,24,-1,49,2
2019_10_DET_CHI,2019,10,REG,2019-11-10,CHI,DET,20,13,6,38,7
2019_10_BAL_CIN,2019,10,REG,2019-11-10,CIN,BAL,13,49,-10.5,44,-36
2019_10_BUF_CLE,2019,10,REG,2019-11-10,CLE,BUF,19,16,3,42,3
2019_10_ATL_NO,2019,10,REG,2019-11-10,NO,ATL,9,26,14,51.5,-17
2019_10_NYG_NYJ,2019,10,REG,2019-11-10,NYJ,NYG,34,27,-3,43,7
2019_10_ARI_TB,2019,10,REG,2019-11-10,TB,ARI,30,27,5.5,51,3
2019_10_KC_TEN,2019,10,REG,2019-11-10,TEN,KC,35,32,-5,49,3
2019_10_MIA_IND,2019,10,REG,2019-11-10,IND,MIA,12,16,11,44.5,-4
2019_10_CAR_GB,2019,10,REG,2019-11-10,GB,CAR,24,16,5,49,8
2019_10_LA_PIT,2019,10,REG,2019-11-10,PIT,LA,17,12,-4,43,5
2019_10_MIN_DAL,2019,10,REG,2019-11-10,DAL,MIN,24,28,3.5,48.5,-4
2019_10_SEA_SF,2019,10,REG,2019-11-11,SF,SEA,24,27,6.5,47,-3
2019_11_PIT_CLE,2019,11,REG,2019-11-14,CLE,PIT,21,7,3,41.5,14
2019_11_HOU_BAL,2019,11,REG,2019-11-17,BAL,HOU,41,7,4,51,34
2019_11_ATL_CAR,2019,11,REG,2019-11-17,CAR,ATL,3,29,3.5,49,-26
2019_11_DAL_DET,2019,11,REG,2019-11-17,DET,DAL,27,35,-7.5,46.5,-8
2019_11_JAX_IND,2019,11,REG,2019-11-17,IND,JAX,33,13,2.5,41.5,20
2019_11_BUF_MIA,2019,11,REG,2019-11-17,MIA,BUF,20,37,-7,41.5,-17
2019_11_DEN_MIN,2019,11,REG,2019-11-17,MIN,DEN,27,23,10,40.5,4
2019_11_NO_TB,2019,11,REG,2019-11-17,TB,NO,17,34,-5,50.5,-17
2019_11_NYJ_WAS,2019,11,REG,2019-11-17,WAS,NYJ,17,34,1,37.5,-17
2019_11_ARI_SF,2019,11,REG,2019-11-17,SF,ARI,36,26,10,44,10
2019_11_CIN_OAK,2019,11,REG,2019-11-17,OAK,CIN,17,10,13,48,7
2019_11_NE_PHI,2019,11,REG,2019-11-17,PHI,NE,10,17,-4.5,45,-7
2019_11_CHI_LA,2019,11,REG,2019-11-17,LA,CHI,17,7,5,40,10
2019_11_KC_LAC,2019,11,REG,2019-11-18,LAC,KC,17,24,-5.5,52.5,-7
2019_12_IND_HOU,2019,12,REG,2019-11-21,HOU,IND,20,17,3.5,46,3
2019_12_TB_ATL,2019,12,REG,2019-11-24,ATL,TB,22,35,3.5,51.5,-13
2019_12_DEN_BUF,2019,12,REG,2019-11-24,BUF,DEN,20,3,3.5,37,17
2019_12_NYG_CHI,2019,12,REG,2019-11-24,CHI,NYG,19,14,6,41,5
2019_12_PIT_CIN,2019,12,REG,2019-11-24,CIN,PIT,10,16,-5.5,37.5,-6
2019_12_MIA_CLE,2019,12,REG,2019-11-24,CLE,MIA,41,24,11,45.5,17
2019_12_CAR_NO,2019,12,REG,2019-11-24,NO,CAR,34,31,10,46,3
2019_12_OAK_NYJ,2019,12,REG,2019-11-24,NYJ,OAK,34,3,-3.5,45,31
2019_12_SEA_PHI,2019,12,REG,2019-11-24,PHI,SEA,9,17,-1,45.5,-8
2019_12_DET_WAS,2019,12,REG,2019-11-24,WAS,DET,19,16,-4,39,3
2019_12_JAX_TEN,2019,12,REG,2019-11-24,TEN,JAX,42,20,4.5,42,22
2019_12_DAL_NE,2019,12,REG,2019-11-24,NE,DAL,13,9,5.5,44.5,4
2019_12_GB_SF,2019,12,REG,2019-11-24,SF,GB,37,8,3,48,29
2019_12_BAL_LA,2019,12,REG,2019-11-25,LA,BAL,6,45,-3.5,47,-39
2019_13_CHI_DET,2019,13,REG,2019-11-28,DET,CHI,20,24,-5.5,37.5,-4
2019_13_BUF_DAL,2019,13,REG,2019-11-28,DAL,BUF,15,26,6.5,46.5,-11
2019_13_NO_ATL,2019,13,REG,2019-11-28,ATL,NO,18,26,-7,48,-8
2019_13_SF_BAL,2019,13,REG,2019-12-01,BAL,SF,20,17,5.5,45,3
2019_13_WAS_CAR,2019,13,REG,2019-12-01,CAR,WAS,21,29,10.5,38.5,-8
2019_13_NYJ_CIN,2019,13,REG,2019-12-01,CIN,NYJ,22,6,-2.5,43,16
2019_13_TEN_IND,2019,13,REG,2019-12-01,IND,TEN,17,31,-1,41.5,-14
2019_13_TB_JAX,2019,13,REG,2019-12-01,JAX,TB,11,28,-3,46.5,-17
2019_13_PHI_MIA,2019,13,REG,2019-12-01,MIA,PHI,37,31,-10.5,45,6
2019_13_GB_NYG,2019,13,REG,2019-12-01,NYG,GB,13,31,-6.5,43.5,-18
2019_13_CLE_PIT,2019,13,REG,2019-12-01,PIT,CLE,20,13,-1,40,7
2019_13_LA_ARI,2019,13,REG,2019-12-01,ARI,LA,7,34,-2.5,47,-27
2019_13_LAC_DEN,2019,13,REG,2019-12-01,DEN,LAC,23,20,-4.5,39,3
2019_13_OAK_KC,2019,13,REG,2019-12-01,KC,OAK,40,9,11.5,49.5,31
2019_13_NE_HOU,2019,13,REG,2019-12-01,HOU,NE,28,22,-3.5,47,6
2019_13_MIN_SEA,2019,13,REG,2019-12-02,SEA,MIN,37,30,2.5,48,7
2019_14_DAL_CHI,2019,14,REG,2019-12-05,CHI,DAL,31,24,-3,43,7
2019_14_CAR_ATL,2019,14,REG,2019-12-08,ATL,CAR,40,20,3.5,48,20
2019_14_BAL_BUF,2019,14,REG,2019-12-08,BUF,BAL,17,24,-6.5,44,-7
2019_14_CIN_CLE,2019,14,REG,2019-12-08,CLE,CIN,27,19,6.5,43,8
2019_14_WAS_GB,2019,14,REG,2019-12-08,GB,WAS,20,15,13,42.5,5
2019_14_DEN_HOU,2019,14,REG,2019-12-08,HOU,DEN,24,38,8,42.5,-14
2019_14_DET_MIN,2019,14,REG,2019-12-08,MIN,DET,20,7,12,43.5,13
2019_14_SF_NO,2019,14,REG,2019-12-08,NO,SF,46,48,1,45,-2
2019_14_MIA_NYJ,2019,14,REG,2019-12-08,NYJ,MIA,22,21,5,47,1
2019_14_IND_TB,2019,14,REG,2019-12-08,TB,IND,38,35,3,46.5,3
2019_14_LAC_JAX,2019,14,REG,2019-12-08,JAX,LAC,10,45,-3.5,42,-35
2019_14_PIT_ARI,2019,14,REG,2019-12-08,ARI,PIT,17,23,-2.5,43.5,-6
2019_14_KC_NE,2019,14,REG,2019-12-08,NE,KC,16,23,3,49.5,-7
2019_14_TEN_OAK,2019,14,REG,2019-12-08,OAK,TEN,21,42,-3,47,-21
2019_14_SEA_LA,2019,14,REG,2019-12-08,LA,SEA,28,12,1,47.5,16
2019_14_NYG_PHI,2019,14,REG,2019-12-09,PHI,NYG,23,17,9.5,45.5,6
2019_15_NYJ_BAL,2019,15,REG,2019-12-12,BAL,NYJ,42,21,17,44,21
