game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2017_01_KC_NE,2017,1,REG,2017-09-07,NE,KC,27,42,8,47.5,-15
2017_01_NYJ_BUF,2017,1,REG,2017-09-10,BUF,NYJ,21,12,7,42,9
2017_01_ATL_CHI,2017,1,REG,2017-09-10,CHI,ATL,17,23,-6.5,48,-6
2017_01_BAL_CIN,2017,1,REG,2017-09-10,CIN,BAL,0,20,2.5,41.5,-20
2017_01_PIT_CLE,2017,1,REG,2017-09-10,CLE,PIT,18,21,-10,47,-3
2017_01_ARI_DET,2017,1,REG,2017-09-10,DET,ARI,35,23,-2.5,48.5,12
2017_01_JAX_HOU,2017,1,REG,2017-09-10,HOU,JAX,7,29,5.5,38,-22
2017_01_OAK_TEN,2017,1,REG,2017-09-10,TEN,OAK,16,26,2.5,49.5,-10
2017_01_PHI_WAS,2017,1,REG,2017-09-10,WAS,PHI,17,30,-2,49.5,-13
2017_01_IND_LA,2017,1,REG,2017-09-10,LA,IND,46,9,3.5,41.5,37
2017_01_SEA_GB,2017,1,REG,2017-09-10,GB,SEA,17,9,2.5,49.5,8
2017_01_CAR_SF,2017,1,REG,2017-09-10,SF,CAR,3,23,-4.5,45.5,-20
2017_01_NYG_DAL,2017,1,REG,2017-09-10,DAL,NYG,19,3,6,46.5,16
2017_01_NO_MIN,2017,1,REG,2017-09-11,MIN,NO,29,19,3,47.5,10
2017_01_LAC_DEN,2017,1,REG,2017-09-11,DEN,LAC,24,21,3,41.5,3
2017_02_HOU_CIN,2017,2,REG,2017-09-14,CIN,HOU,9,13,5.5,38,-4
2017_02_CLE_BAL,2017,2,REG,2017-09-17,BAL,CLE,24,10,7.5,39.5,14
2017_02_BUF_CAR,2017,2,REG,2017-09-17,CAR,BUF,9,3,6.5,43,6
2017_02_ARI_IND,2017,2,REG,2017-09-17,IND,ARI,13,16,-7,44,-3
2017_02_TEN_JAX,2017,2,REG,2017-09-17,JAX,TEN,16,37,-1,42,-21
2017_02_PHI_KC,2017,2,REG,2017-09-17,KC,PHI,27,20,4,46.5,7
2017_02_NE_NO,2017,2,REG,2017-09-17,NO,NE,20,36,-5.5,55,-16
2017_02_MIN_PIT,2017,2,REG,2017-09-17,PIT,MIN,26,9,8.5,43,17
2017_02_CHI_TB,2017,2,REG,2017-09-17,TB,CHI,29,7,7,44,22
2017_02_MIA_LAC,2017,2,REG,2017-09-17,LAC,MIA,17,19,3.5,46.5,-2
2017_02_NYJ_OAK,2017,2,REG,2017-09-17,OAK,NYJ,45,20,14,44,25
2017_02_DAL_DEN,2017,2,REG,2017-09-17,DEN,DAL,42,17,-2.5,44,25
2017_02_WAS_LA,2017,2,REG,2017-09-17,LA,WAS,20,27,3,45.5,-7
2017_02_SF_SEA,2017,2,REG,2017-09-17,SEA,SF,12,9,13.5,42,3
2017_02_GB_ATL,2017,2,REG,2017-09-17,ATL,GB,34,23,3.5,55,11
2017_02_DET_NYG,2017,2,REG,2017-09-18,NYG,DET,10,24,3,42,-14
2017_03_LA_SF,2017,3,REG,2017-09-21,SF,LA,39,41,-3,40.5,-2
2017_03_DEN_BUF,2017,3,REG,2017-09-24,BUF,DEN,26,16,-3.5,40,10
2017_03_NO_CAR,2017,3,REG,2017-09-24,CAR,NO,13,34,5.5,46.5,-21
2017_03_PIT_CHI,2017,3,REG,2017-09-24,CHI,PIT,23,17,-7,43.5,6
2017_03_ATL_DET,2017,3,REG,2017-09-24,DET,ATL,26,30,-3,51,-4
2017_03_CLE_IND,2017,3,REG,2017-09-24,IND,CLE,31,28,1,42,3
2017_03_TB_MIN,2017,3,REG,2017-09-24,MIN,TB,34,17,-0,41,17
2017_03_HOU_NE,2017,3,REG,2017-09-24,NE,HOU,36,33,13.5,44.5,3
2017_03_MIA_NYJ,2017,3,REG,2017-09-24,NYJ,MIA,20,6,-5.5,43,14
2017_03_NYG_PHI,2017,3,REG,2017-09-24,PHI,NYG,27,24,5,42,3
2017_03_SEA_TEN,2017,3,REG,2017-09-24,TEN,SEA,33,27,2,42,6
2017_03_CIN_GB,2017,3,REG,2017-09-24,GB,CIN,27,24,7,47.5,3
2017_03_KC_LAC,2017,3,REG,2017-09-24,LAC,KC,10,24,-3,47.5,-14
2017_03_OAK_WAS,2017,3,REG,2017-09-24,WAS,OAK,27,10,-3.5,53,17
2017_03_BAL_JAX,2017,3,REG,2017-09-24,JAX,BAL,44,7,-3,38,37
2017_03_DAL_ARI,2017,3,REG,2017-09-25,ARI,DAL,17,28,-3,46.5,-11
2017_04_CHI_GB,2017,4,REG,2017-09-28,GB,CHI,35,14,7.5,44,21
2017_04_BUF_ATL,2017,4,REG,2017-10-01,ATL,BUF,17,23,8,48,-6
2017_04_PIT_BAL,2017,4,REG,2017-10-01,BAL,PIT,9,26,-3.5,42,-17
2017_04_CIN_CLE,2017,4,REG,2017-10-01,CLE,CIN,7,31,-3,41.5,-24
2017_04_LA_DAL,2017,4,REG,2017-10-01,DAL,LA,30,35,5,51,-5
2017_04_TEN_HOU,2017,4,REG,2017-10-01,HOU,TEN,57,14,-2.5,43,43
2017_04_DET_MIN,2017,4,REG,2017-10-01,MIN,DET,7,14,2.5,43,-7
2017_04_CAR_NE,2017,4,REG,2017-10-01,NE,CAR,30,33,9,48,-3
2017_04_JAX_NYJ,2017,4,REG,2017-10-01,NYJ,JAX,23,20,-4,38.5,3
2017_04_SF_ARI,2017,4,REG,2017-10-01,ARI,SF,18,15,6.5,43,3
