game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2016_01_CAR_DEN,2016,1,REG,2016-09-08,DEN,CAR,21,20,-3,40.5,1
2016_01_TB_ATL,2016,1,REG,2016-09-11,ATL,TB,24,31,2.5,46.5,-7
2016_01_BUF_BAL,2016,1,REG,2016-09-11,BAL,BUF,13,7,3,44.5,6
2016_01_CHI_HOU,2016,1,REG,2016-09-11,HOU,CHI,23,14,5.5,43,9
2016_01_GB_JAX,2016,1,REG,2016-09-11,JAX,GB,23,27,-3.5,47,-4
2016_01_SD_KC,2016,1,REG,2016-09-11,KC,SD,33,27,6.5,45.5,6
2016_01_OAK_NO,2016,1,REG,2016-09-11,NO,OAK,34,35,2.5,50,-1
2016_01_CIN_NYJ,2016,1,REG,2016-09-11,NYJ,CIN,22,23,1,42,-1
2016_01_CLE_PHI,2016,1,REG,2016-09-11,PHI,CLE,29,10,3.5,41,19
2016_01_MIN_TEN,2016,1,REG,2016-09-11,TEN,MIN,16,25,-2.5,40,-9
2016_01_MIA_SEA,2016,1,REG,2016-09-11,SEA,MIA,12,10,10.5,43.5,2
2016_01_NYG_DAL,2016,1,REG,2016-09-11,DAL,NYG,19,20,1,47.5,-1
2016_01_DET_IND,2016,1,REG,2016-09-11,IND,DET,35,39,2.5,51.5,-4
2016_01_NE_ARI,2016,1,REG,2016-09-11,ARI,NE,21,23,9,44.5,-2
2016_01_PIT_WAS,2016,1,REG,2016-09-12,WAS,PIT,16,38,-2.5,49,-22
2016_01_LA_SF,2016,1,REG,2016-09-12,SF,LA,28,0,-2.5,44,28
2016_02_NYJ_BUF,2016,2,REG,2016-09-15,BUF,NYJ,31,37,1.5,40.5,-6
2016_02_TB_ARI,2016,2,REG,2016-09-18,ARI,TB,40,7,7.5,49.5,33
2016_02_SF_CAR,2016,2,REG,2016-09-18,CAR,SF,46,27,12,44.5,19
2016_02_BAL_CLE,2016,2,REG,2016-09-18,CLE,BAL,20,25,-4,42,-5
2016_02_TEN_DET,2016,2,REG,2016-09-18,DET,TEN,15,16,6,48,-1
2016_02_KC_HOU,2016,2,REG,2016-09-18,HOU,KC,19,12,-1,41.5,7
2016_02_MIA_NE,2016,2,REG,2016-09-18,NE,MIA,31,24,5.5,42,7
2016_02_NO_NYG,2016,2,REG,2016-09-18,NYG,NO,16,13,3.5,54,3
