season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2024,1,ARI,REG,BUF,162,1,0,-1.184849735212116,124,1,4.9849497021037035,2,0,0,0,0,5,31,1
2024,1,ATL,REG,PIT,155,1,2,-11.084852608804018,89,0,-6.2247729957452975,2,0,0,0,0,5,34,6
2024,1,BAL,REG,KC,273,1,0,-2.4911596045670317,185,1,8.459207878670568,2,1,0,0,0,7,64,7
2024,1,BUF,REG,ARI,232,2,0,9.161098091100992,130,2,3.497709999574055,4,0,0,0,0,9,65,3
2024,1,CAR,REG,NO,161,0,2,-18.467294525813397,58,1,-8.230615071370266,1,0,0,0,0,6,80,4
2024,1,CHI,REG,TEN,93,0,0,-12.146704188691032,84,0,-0.7959304827146656,3,2,1,0,0,7,55,1
2024,1,CIN,REG,NE,164,0,0,-4.170614777700862,70,1,2.1775300859007984,1,0,0,1,0,2,10,6
2024,1,CLE,REG,DAL,169,1,2,-23.115656479087193,93,1,4.085149191727396,3,0,0,0,0,11,64,5
2024,1,DAL,REG,CLE,179,1,0,-6.667337795562192,102,1,0.12158303763135336,6,2,0,0,0,11,85,1
2024,1,DEN,REG,SEA,138,0,2,-18.2777050810312,99,1,-0.6061090577277355,2,1,0,0,2,8,60,6
2024,1,DET,REG,LA,217,1,1,-4.808456408365052,163,2,11.260816424095538,2,1,0,0,0,6,56,3
2024,1,GB,REG,PHI,260,2,1,2.3736812770877145,163,1,8.390708402774298,2,2,0,0,0,10,71,7
2024,1,HOU,REG,IND,234,2,0,7.507696996312891,213,1,1.1946995000909082,2,1,0,0,0,5,30,5
2024,1,IND,REG,HOU,212,2,1,-3.033125795656815,104,2,5.316180346752051,4,0,0,0,0,4,20,3
2024,1,JAX,REG,MIA,162,1,0,1.7065504872972965,128,1,-9.104732941254042,3,0,0,0,0,8,71,6
2024,1,KC,REG,BAL,291,1,1,11.084406207205,72,2,-0.8725013073708396,1,0,0,0,0,6,45,3
2024,1,LA,REG,DET,317,1,1,4.536420907523806,83,1,-1.289133790129891,2,1,0,0,0,6,50,3
2024,1,LAC,REG,LV,144,1,0,-4.875879753395097,176,1,0.27146262551844125,3,1,0,0,0,7,50,1
2024,1,LV,REG,LAC,257,1,1,-1.242704641111882,71,0,-18.512758815661073,1,0,0,0,0,2,15,3
2024,1,MIA,REG,JAX,338,1,0,4.323552238676893,81,1,-2.7587864158640087,3,0,0,0,0,9,103,6
2024,1,MIN,REG,NYG,208,2,1,9.554716408369131,111,1,0.806603261618875,5,2,1,0,0,7,63,3
2024,1,NE,REG,CIN,121,0,0,-1.9693797345901767,170,1,0.3665717382100411,3,0,0,0,0,5,40,2
2024,1,NO,REG,CAR,200,3,0,7.993490761951094,180,2,4.767348478038938,4,2,0,1,0,10,95,3
2024,1,NYG,REG,MIN,186,0,2,-22.593837722959112,74,0,-1.698632760264445,1,1,0,1,0,9,95,4
2024,1,NYJ,REG,SF,203,2,1,5.5218193506153765,68,1,-3.0369235389952083,3,0,0,0,0,3,10,3
2024,1,PHI,REG,GB,278,2,2,11.177172094966746,144,2,-6.585977755311298,2,1,0,0,0,7,57,6
2024,1,PIT,REG,ATL,156,0,0,-1.352276713480927,137,0,-5.234161121841074,2,2,0,0,0,9,60,4
2024,1,SEA,REG,DEN,171,1,1,-5.73969622205013,146,2,1.106174907006789,2,2,0,1,0,6,41,4
2024,1,SF,REG,NYJ,231,0,0,4.411567425682648,180,2,2.5297741577378474,1,1,0,0,0,4,40,4
2024,1,TB,REG,WAS,289,4,0,20.59176505084287,112,0,-6.825627435372475,2,0,0,0,0,7,46,1
2024,1,TEN,REG,CHI,127,1,2,-18.171179407976318,140,1,2.058355855551781,2,0,0,0,0,8,50,4
2024,1,WAS,REG,TB,184,0,0,-1.7388794818162725,138,3,8.49417748983251,1,0,0,0,0,7,51,4
2024,2,ARI,REG,LA,266,3,0,18.101088591167418,231,1,3.402355659990622,5,0,0,0,0,5,52,0
2024,2,ATL,REG,PHI,241,2,0,9.083101339781052,152,0,-0.4358732876157885,1,1,0,0,0,3,40,6
2024,2,BAL,REG,LV,247,1,1,0.9536016024697049,151,1,-1.6356536140083335,5,1,0,0,0,11,109,6
2024,2,BUF,REG,MIA,139,1,0,11.151412883304674,108,2,-1.4613318584451918,2,3,1,0,0,1,5,6
2024,2,CAR,REG,LAC,84,0,1,-22.053371801159418,90,0,-0.515035750460811,1,1,0,0,0,9,90,4
2024,2,CHI,REG,HOU,174,0,2,-21.561364475864146,71,1,0.8611860875389539,3,0,0,0,0,9,60,6
2024,2,CIN,REG,KC,258,2,0,3.9209349206325026,74,0,-1.1228848252212629,2,2,0,0,0,8,79,6
