season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2021,1,ARI,REG,TEN,289,4,1,11.811978108226205,136,1,0.5897454318381019,6,1,0,0,0,8,59,6
2021,1,ATL,REG,PHI,164,0,0,-15.975289404987098,124,0,-1.905627096653916,1,0,0,0,0,12,99,2
2021,1,BAL,REG,LV,235,1,0,2.354600991991746,189,2,-5.519841350104947,3,1,0,1,0,5,71,5
2021,1,BUF,REG,PIT,270,1,0,-6.091796199729927,117,0,-1.6760541429102886,2,0,0,0,0,8,81,5
2021,1,CAR,REG,NYJ,279,1,0,2.872278243143306,111,1,-6.010203855956206,6,1,0,0,0,6,38,3
2021,1,CHI,REG,LA,216,0,1,-10.521667287393939,134,2,3.915695852250792,1,0,0,0,0,3,35,3
2021,1,CIN,REG,MIN,261,2,0,4.165379034298377,149,1,-5.981537235114956,3,0,0,0,0,3,15,7
2021,1,CLE,REG,KC,321,0,1,10.770012461114675,153,4,4.9146887105163195,2,0,0,0,0,5,30,4
2021,1,DAL,REG,TB,403,3,1,14.206178918211204,60,0,-4.7335089024172134,0,2,0,0,0,8,55,2
2021,1,DEN,REG,NYG,264,2,0,23.347826930988465,165,1,0.3164655564999128,2,0,0,0,0,5,51,1
2021,1,DET,REG,SF,338,3,1,-6.848857373831632,116,1,0.2686919724801555,1,0,0,0,0,5,45,3
2021,1,GB,REG,NO,201,0,2,-17.85950272260158,43,0,-2.3888074638089165,0,0,0,0,0,5,33,3
2021,1,HOU,REG,JAX,291,2,0,14.053602164235164,160,2,-2.459740997003774,1,3,0,0,0,5,50,3
2021,1,IND,REG,SEA,251,2,0,0.3033420569808616,113,0,-7.232013080778299,3,0,0,0,0,2,16,4
2021,1,JAX,REG,HOU,332,3,3,-3.838039752250946,76,0,0.9942300176480785,1,0,0,0,0,10,82,6
2021,1,KC,REG,CLE,337,3,0,19.399531156391028,73,1,0.9441924845450558,2,1,0,0,0,5,36,3
2021,1,LA,REG,CHI,321,3,0,18.848576589254023,74,1,-2.7689597136049997,3,1,0,0,0,4,36,2
2021,1,LAC,REG,WAS,337,1,1,10.384261467303975,90,1,-6.473820379294921,1,0,0,0,0,6,94,2
2021,1,LV,REG,BAL,435,2,1,9.61616741518598,82,2,-8.0847307589428965,3,0,0,0,0,10,62,8
2021,1,MIA,REG,NE,202,1,1,1.3420937838439366,74,1,0.25676190544618294,0,0,0,0,0,5,28,1
2021,1,MIN,REG,CIN,362,2,0,11.595438825098677,67,1,-7.616133847244782,5,0,0,0,0,12,116,6
2021,1,NE,REG,MIA,281,1,0,12.532951828922847,125,0,-4.9863849298562855,2,1,0,0,0,8,84,4
2021,1,NO,REG,GB,151,5,0,16.867315786565612,171,0,1.7654704141023103,2,2,0,0,0,6,36,2
2021,1,NYG,REG,DEN,267,1,0,-1.682873543293681,60,1,-0.2567873961525038,2,0,0,0,0,4,48,4
2021,1,NYJ,REG,CAR,258,2,1,-7.6982807563180105,45,0,-3.7839654447888025,1,0,0,0,0,5,30,4
2021,1,PHI,REG,ATL,264,3,0,11.97530757493223,173,1,2.260048283418807,3,0,0,0,0,14,89,4
2021,1,PIT,REG,BUF,188,1,0,-0.8279154689188855,75,0,-3.844441322318744,3,0,0,0,0,5,32,2
2021,1,SEA,REG,IND,254,4,0,12.114889423595741,140,0,-1.6345664036925882,3,0,0,0,0,7,53,2
2021,1,SF,REG,DET,319,2,0,21.47642284885692,131,2,-5.737077595375115,3,1,1,0,0,7,79,4
2021,1,TB,REG,DAL,379,4,2,14.006987331264142,52,0,-4.603938021347858,1,1,0,0,0,11,106,6
2021,1,TEN,REG,ARI,218,1,1,-16.633516116453,86,1,-4.2087072872091085,2,1,0,0,0,7,57,3
2021,1,WAS,REG,LAC,135,1,0,0.5525065666882272,126,0,-5.391469053386291,2,1,0,0,0,8,57,6
2021,2,ARI,REG,MIN,400,3,2,4.5778203255854155,103,1,2.4110772576823365,1,0,0,0,0,5,40,3
2021,2,ATL,REG,TB,300,2,3,-9.130134304093644,55,1,-9.901439488064963,3,0,0,0,0,6,49,2
2021,2,BAL,REG,KC,239,1,2,-1.2187130479228843,251,3,13.172484696027823,0,1,0,0,0,8,55,5
2021,2,BUF,REG,MIA,179,2,1,3.8303153185757512,143,3,10.73801777564222,6,1,0,0,0,6,53,5
2021,2,CAR,REG,NO,305,2,1,10.91611861574479,89,1,-6.1457645694144105,4,2,0,0,0,5,49,5
2021,2,CHI,REG,CIN,116,1,1,-7.057508785327429,123,0,-6.653188571042847,5,3,1,0,0,8,70,2
2021,2,CIN,REG,CHI,207,2,3,-8.971513120357098,69,0,-3.8588265761500224,3,1,0,0,0,4,57,4
2021,2,CLE,REG,HOU,213,1,1,7.975212186516728,156,3,5.391962993198774,1,1,0,1,0,5,62,4
2021,2,DAL,REG,LAC,237,0,1,-1.6675555825016857,198,2,7.841782716555558,2,2,0,0,0,8,76,5
2021,2,DEN,REG,JAX,328,2,0,8.952235956861411,96,0,-5.183417487540282,1,2,0,0,0,10,101,4
2021,2,DET,REG,GB,246,2,1,-0.5681896907650792,108,0,0.1003322956385091,3,0,0,0,0,9,78,5
2021,2,GB,REG,DET,255,4,0,17.5704846290173,96,1,-0.650164468359435,0,1,0,0,0,5,50,3
2021,2,HOU,REG,CLE,227,2,1,9.352581492130135,82,1,-3.771652611263562,2,1,0,1,0,9,78,4
2021,2,IND,REG,LA,272,1,2,-4.3744268841139355,109,0,-0.9134607475134544,1,1,0,0,0,3,25,5
2021,2,JAX,REG,DEN,118,1,2,-14.17872855235235,75,0,1.3044561845599674,3,0,0,0,0,7,70,4
2021,2,KC,REG,BAL,343,3,1,17.198165178648196,62,1,-2.924398981151171,1,2,1,0,0,5,46,3
2021,2,LA,REG,IND,278,2,1,11.933595880489168,101,1,-7.3703122958526315,3,2,0,0,0,2,15,2
2021,2,LAC,REG,DAL,338,1,2,3.6222372581481093,95,0,2.3207711573196574,2,1,0,0,0,12,99,3
2021,2,LV,REG,PIT,382,2,0,20.622716487110782,52,0,-6.696760094679302,2,1,0,0,0,5,40,5
2021,2,MIA,REG,BUF,182,0,1,-21.80340387969045,71,0,-6.472921846143436,1,1,0,2,0,9,83,3
2021,2,MIN,REG,ARI,244,3,0,6.979819100777393,177,0,4.576663177576847,3,2,1,0,0,3,16,6
2021,2,NE,REG,NYJ,186,0,0,-4.378398055847251,101,2,1.291484084185873,4,4,0,0,0,6,54,3
2021,2,NO,REG,CAR,111,0,2,-18.644943965482526,48,1,-3.770524538587779,2,1,0,0,0,11,115,5
2021,2,NYG,REG,WAS,249,1,0,2.8205659581865374,163,1,2.228113715309605,1,1,0,0,0,11,81,6
2021,2,NYJ,REG,NE,210,0,4,-23.702244502812835,152,0,2.2292017891681466,3,0,0,0,0,8,77,3
2021,2,PHI,REG,SF,190,0,0,-2.1224604701182592,151,1,1.3555563538138307,0,0,0,0,0,8,57,4
2021,2,PIT,REG,LV,295,1,1,2.70703791455795,39,1,-2.615677823720034,2,0,0,0,0,5,43,4
2021,2,SEA,REG,TEN,343,2,0,8.279979560883039,77,2,-0.2410844670375809,3,0,0,0,0,10,100,4
2021,2,SF,REG,PHI,189,1,0,6.493261843919754,117,1,-0.17651234743837652,2,0,0,0,0,5,60,2
2021,2,TB,REG,ATL,276,5,0,1.8543642080330756,82,0,-0.6560207718284801,1,3,2,0,0,9,83,3
2021,2,TEN,REG,SEA,347,0,0,7.436185092462178,212,3,5.925533575545797,3,0,0,0,0,5,45,5
2021,2,WAS,REG,NYG,336,2,1,0.8998188091411343,87,1,5.956826676956514,4,0,0,0,0,9,80,6
2021,3,ARI,REG,JAX,316,0,1,11.86485913900144,91,3,1.9657176818000153,2,2,1,1,0,7,58,3
2021,3,ATL,REG,NYG,243,2,0,5.152402266510762,69,0,-3.202427662619825,2,0,0,0,0,4,28,4
2021,3,BAL,REG,DET,287,1,1,7.336588934182415,116,0,-4.03143215927665,2,0,0,0,0,6,69,3
2021,3,BUF,REG,WAS,359,4,0,17.075947222957637,122,1,-2.468603016139241,1,2,0,0,0,5,30,2
2021,3,CAR,REG,HOU,304,0,0,11.996256922977523,117,3,-0.8766962629160844,4,0,0,0,0,8,64,3
2021,3,CHI,REG,CLE,68,0,0,-21.839272548195694,46,0,-3.6286746088722435,5,0,0,1,0,5,44,2
2021,3,CIN,REG,PIT,172,3,1,8.303528122910267,96,0,-4.740095097746234,4,2,0,0,0,10,89,6
2021,3,CLE,REG,CHI,246,1,0,-2.287287114037789,215,1,0.5156031754725081,9,0,0,0,0,7,98,4
2021,3,DAL,REG,PHI,238,3,0,11.571619776455918,160,2,-7.383254636457423,2,2,1,0,0,4,37,2
2021,3,DEN,REG,NYJ,235,0,0,11.934019934421237,120,2,-14.999408408884975,5,2,0,0,0,6,50,2
2021,3,DET,REG,BAL,217,0,0,2.22691281553125,93,2,-4.732046692255816,4,1,0,0,0,7,35,6
2021,3,GB,REG,SF,261,2,0,7.611549459404432,100,1,-0.31503356696339324,4,1,0,0,0,7,87,6
2021,3,HOU,REG,CAR,168,1,0,-7.626221771077047,42,0,-6.7462557921535335,3,0,0,1,0,7,51,6
2021,3,IND,REG,TEN,194,0,0,-8.559545816927763,87,1,5.977761615143296,1,2,0,1,0,4,66,6
2021,3,JAX,REG,ARI,219,1,2,-13.066595108015463,159,1,2.7580398194259033,0,1,0,0,0,4,40,6
2021,3,KC,REG,LAC,260,3,2,11.102004599568252,186,0,1.3146724323742092,1,0,0,0,0,6,56,5
2021,3,LA,REG,TB,343,4,0,17.66876214655024,76,0,-3.8930420257383958,3,0,0,0,0,1,4,3
2021,3,LAC,REG,KC,281,4,0,16.22019530230746,77,0,-1.95728203386534,2,2,0,0,0,8,50,3
2021,3,LV,REG,MIA,386,2,1,6.625039513732055,140,1,-7.834481825004332,2,0,0,0,1,8,104,9
2021,3,MIA,REG,LV,215,0,0,-2.296617883618241,133,2,-2.850258464750368,3,1,1,0,0,8,68,7
2021,3,MIN,REG,SEA,323,3,0,19.216881190438933,140,0,-2.343624174653087,2,0,0,0,0,4,40,3
2021,3,NE,REG,NO,270,1,3,-16.88236440998653,49,0,-1.806866937840823,3,0,0,0,0,4,30,5
2021,3,NO,REG,NE,128,2,0,5.266919137182413,142,1,-1.3253962136167416,2,3,1,0,0,2,15,5
2021,3,NYG,REG,ATL,266,0,0,7.624345371326417,100,1,-2.049465795558497,3,0,0,0,0,8,53,5
2021,3,NYJ,REG,DEN,160,0,2,-24.105391451797914,43,0,-2.986663809453603,2,0,0,0,0,9,90,4
2021,3,PHI,REG,DAL,326,2,2,-6.228373768622987,64,0,-4.592849081789609,4,0,0,0,0,13,86,1
2021,3,PIT,REG,CIN,318,1,2,-8.94338575678751,45,0,-3.917822380142752,0,1,0,0,0,10,73,4
2021,3,SEA,REG,MIN,298,1,0,0.7109582570280235,106,1,4.294268189056311,1,0,0,0,0,4,35,5
2021,3,SF,REG,GB,257,2,1,0.668321106757503,67,2,2.1035573587578256,1,0,0,0,0,4,86,4
2021,3,TB,REG,LA,432,1,0,13.163302539915692,35,2,-0.15947061136830598,1,0,0,0,0,7,41,5
2021,3,TEN,REG,IND,197,3,2,3.2950427222822376,180,0,3.604993809931446,2,0,0,0,0,4,24,2
2021,3,WAS,REG,BUF,212,2,2,4.850079666357487,78,1,-9.040632240241393,0,0,0,0,0,5,38,4
2021,4,ARI,REG,LA,268,2,0,13.925697000786997,216,2,8.409241776937904,0,1,0,0,0,7,63,5
2021,4,ATL,REG,WAS,283,4,0,12.27373061528095,99,0,-4.894475303241052,1,0,0,0,0,7,36,5
2021,4,BAL,REG,DEN,316,1,0,10.418508413621403,102,1,-3.2877989902626723,5,1,0,0,0,6,55,2
2021,4,BUF,REG,HOU,256,2,1,2.4666969370637783,199,2,3.0432537625080656,2,4,0,0,0,3,30,4
2021,4,CAR,REG,DAL,301,2,2,-1.5771389917372254,113,2,7.0273778513656,0,0,0,0,0,6,32,3
2021,4,CHI,REG,DET,209,0,1,3.215261419767688,188,3,5.868499743344728,4,0,0,0,0,7,61,4
2021,4,CIN,REG,JAX,348,2,0,17.589502797128443,78,1,0.40535682536257234,1,0,0,0,0,6,38,5
2021,4,CLE,REG,MIN,155,0,0,-6.062940793573553,184,1,0.8230200179095846,2,1,0,0,0,7,73,6
2021,4,DAL,REG,CAR,188,4,0,6.621061382902786,245,1,5.929866671621566,5,2,0,0,0,7,50,4
2021,4,DEN,REG,BAL,178,1,1,-16.4271856136329,106,0,3.4161125732352957,3,0,0,0,0,4,25,4
2021,4,DET,REG,CHI,299,2,0,4.7839747601537965,90,0,-8.159834261750802,1,1,0,0,0,4,26,4
2021,4,GB,REG,PIT,248,2,0,3.578705210486456,131,1,-0.8360242836934049,2,1,0,0,0,3,25,3
2021,4,HOU,REG,BUF,87,0,4,-22.929134988808073,48,0,-6.597374394186772,1,1,0,0,0,10,100,3
2021,4,IND,REG,MIA,228,2,0,9.914629933273302,139,1,-3.4863207858870737,3,0,0,1,0,8,86,3
2021,4,JAX,REG,CIN,204,0,0,6.4064483839902095,139,3,3.6767497783876024,1,0,0,0,0,2,10,5
2021,4,KC,REG,PHI,278,5,1,22.732895673107123,200,1,10.220597585925134,3,0,0,0,0,7,46,2
2021,4,LA,REG,ARI,280,2,1,2.3852450999366064,121,0,-1.7917652503820136,3,0,0,0,0,5,36,2
2021,4,LAC,REG,LV,222,3,0,2.2882145877811126,168,1,-2.541932646476198,4,1,0,0,0,7,105,2
2021,4,LV,REG,LAC,196,2,1,-7.575010212823973,48,0,-5.476535347697791,2,0,0,2,0,7,58,5
2021,4,MIA,REG,IND,199,2,0,-0.5592807053368247,35,0,-4.209695093042683,2,0,0,1,0,5,32,6
2021,4,MIN,REG,CLE,203,1,1,-9.819370267214254,65,0,-6.411836098704953,3,0,0,0,0,7,42,6
