season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2018,1,ARI,REG,WAS,153,0,1,-14.832660128929884,68,1,2.6908730455616023,3,0,0,0,0,9,67,3
2018,1,ATL,REG,PHI,251,0,1,-11.715433984411526,74,1,-2.645364354015328,2,1,0,0,0,15,135,4
2018,1,BAL,REG,BUF,260,3,0,7.138816173222507,117,3,-3.71889714882127,6,2,0,2,0,9,78,6
2018,1,BUF,REG,BAL,98,0,2,-27.864169023776302,83,0,-11.882840703241527,2,0,0,0,0,10,100,3
2018,1,CAR,REG,DAL,161,0,0,-0.6709656695717703,147,2,-5.725147355362307,6,0,0,0,0,9,80,5
2018,1,CHI,REG,GB,171,0,0,-5.010433086358351,139,1,2.5094146245974116,4,1,1,0,0,5,35,6
2018,1,CIN,REG,IND,243,2,1,2.6774968590396497,101,1,3.5367599068558775,2,1,0,0,0,8,94,4
2018,1,CLE,REG,PIT,197,1,1,-18.47776475029397,177,2,5.436473378475057,4,3,0,0,0,11,87,6
2018,1,DAL,REG,CAR,170,0,0,-8.960020205598092,94,1,1.2568337587146088,3,0,0,0,0,10,85,5
2018,1,DEN,REG,SEA,329,3,3,-3.8372416100535442,146,0,-4.030050700297579,6,2,0,0,0,7,60,0
2018,1,DET,REG,NYJ,300,1,5,-23.769879102222667,39,0,-3.412268857937306,2,1,1,0,0,3,15,2
2018,1,GB,REG,CHI,341,3,1,2.0231354776334314,69,0,-3.4063265141739976,3,0,0,0,0,8,72,4
2018,1,HOU,REG,NE,176,1,1,-9.509828350359676,167,1,-2.387900684028864,2,1,0,0,0,6,44,3
2018,1,IND,REG,CIN,319,2,1,7.078572847209987,75,0,-4.508840464600894,2,1,0,0,0,7,91,3
2018,1,JAX,REG,NYG,176,1,1,-4.275158427774458,137,0,-1.4565105725778267,2,1,1,0,0,11,119,4
2018,1,KC,REG,LAC,256,4,0,12.752110731986871,106,0,-1.2504126678977627,1,1,0,0,0,6,50,2
2018,1,LA,REG,LV,233,2,0,5.476922014947327,140,0,2.6140877338427853,1,3,1,0,0,8,70,4
2018,1,LAC,REG,KC,424,3,1,16.117956372414145,123,0,2.713911704704631,1,0,0,2,0,7,45,5
2018,1,LV,REG,LA,303,0,3,-12.649219629196766,95,1,0.032819932501297444,1,0,0,0,0,11,155,6
2018,1,MIA,REG,TEN,230,2,2,2.210084789735221,120,0,-3.554997094030851,0,3,0,0,0,7,51,5
2018,1,MIN,REG,SF,244,2,0,0.20115023544720323,116,0,-13.987624946399592,3,3,1,0,0,7,52,5
2018,1,NE,REG,HOU,277,3,1,8.182893924308008,122,0,-3.754402732235298,3,1,0,1,0,6,36,6
2018,1,NO,REG,TB,439,3,0,23.326555751027698,43,2,-5.878113981583621,0,0,0,0,0,8,77,5
2018,1,NYG,REG,JAX,224,0,1,-11.79819566015601,114,1,-3.1193118010418486,1,1,0,1,0,6,43,6
2018,1,NYJ,REG,DET,198,2,1,7.283899776113685,169,2,-6.094109924232938,0,5,1,1,0,7,49,4
2018,1,PHI,REG,ATL,132,0,1,-9.232809095237963,113,2,4.007251114802901,4,1,0,1,0,11,101,5
2018,1,PIT,REG,CLE,335,1,3,-6.687471224036439,159,2,-5.141361285641324,7,1,0,0,0,12,116,6
2018,1,SEA,REG,DEN,298,3,2,4.0963912148054895,64,0,-7.906329610064859,1,3,0,0,0,7,45,6
2018,1,SF,REG,MIN,261,1,3,-13.548579723725075,90,0,-8.591490788501687,3,0,0,1,0,3,21,5
2018,1,TB,REG,NO,417,4,0,29.170436745339323,112,1,-3.3298376791336937,1,0,0,0,0,7,70,3
2018,1,TEN,REG,MIA,220,0,3,-19.31427626011221,116,1,-0.14390061527956277,1,2,0,0,0,5,48,5
2018,1,WAS,REG,ARI,255,2,0,13.331766827388144,182,1,2.684754025453003,2,1,0,0,0,9,63,2
2018,2,ARI,REG,LA,90,0,1,-13.068715461879037,54,0,-3.6781777814030647,2,1,0,0,0,9,47,3
2018,2,ATL,REG,CAR,272,2,1,13.188189202279318,170,2,-0.2026413223137986,2,1,0,0,0,2,26,3
2018,2,BAL,REG,CIN,376,2,2,-9.018407125092367,66,1,-2.10385195640265,0,0,0,1,0,7,51,6
2018,2,BUF,REG,LAC,245,1,2,-2.3244356268994615,84,1,-2.4414519182173535,2,0,0,1,0,6,31,2
2018,2,CAR,REG,ATL,335,3,1,2.636337234344696,121,0,5.68975027045235,0,1,0,0,0,7,49,3
2018,2,CHI,REG,SEA,200,2,2,-2.053940970636063,86,0,-3.9365253303258214,6,1,1,0,0,7,55,3
2018,2,CIN,REG,BAL,265,4,0,9.404591333770956,108,0,-4.21586616933782,4,2,0,1,0,9,92,5
2018,2,CLE,REG,NO,246,1,1,-0.6375168008367917,93,1,-5.163996231625788,3,0,0,0,0,4,43,3
2018,2,DAL,REG,NYG,160,1,0,-2.1361278085322812,138,1,7.533343036484439,6,0,0,0,0,6,47,3
2018,2,DEN,REG,LV,222,0,1,-0.774171831391437,168,2,6.710523521003779,1,0,0,0,0,6,35,6
2018,2,DET,REG,SF,347,3,0,7.738284011150768,98,0,-1.8063686399968524,6,0,0,0,0,10,105,5
2018,2,GB,REG,MIN,281,1,0,1.5708181291815757,98,0,-1.1010215140253008,2,1,0,1,0,7,54,8
2018,2,HOU,REG,TEN,310,2,1,6.375416893557425,148,0,0.048096067803159226,1,0,0,0,0,11,88,6
2018,2,IND,REG,WAS,179,2,2,0.7386546944617294,104,1,0.857310751278419,3,0,0,0,0,6,26,0
2018,2,JAX,REG,NE,376,4,1,19.470376243478352,104,0,-1.4851032838923857,2,0,0,0,0,7,71,3
2018,2,KC,REG,PIT,326,6,0,28.5966408366221,127,0,1.8119140495546162,1,0,0,1,0,12,76,3
2018,2,LA,REG,ARI,354,1,1,16.00131085128291,90,3,-2.342783518135315,1,1,0,0,0,5,49,4
2018,2,LAC,REG,BUF,256,3,0,17.629779187786276,109,1,-7.122743300220463,5,2,0,0,0,6,45,4
2018,2,LV,REG,DEN,288,1,0,10.02736494758944,92,1,-4.445546564413235,1,1,0,0,0,4,30,4
2018,2,MIA,REG,NYJ,168,2,0,-5.637412711221259,135,1,-5.4658645911258645,3,2,0,0,0,2,10,2
2018,2,MIN,REG,GB,425,4,1,16.01553644857904,68,0,-2.5815518050471713,4,0,0,0,0,8,70,4
2018,2,NE,REG,JAX,234,2,0,4.945606922660005,82,0,-4.1394954665447585,0,1,0,0,0,2,25,4
2018,2,NO,REG,CLE,243,2,0,3.4693237835229165,62,0,-4.865497116974322,3,1,0,0,0,4,53,5
2018,2,NYG,REG,DAL,279,1,0,-6.930392205639055,35,0,0.03694212455516377,0,0,0,0,0,3,24,3
2018,2,NYJ,REG,MIA,334,1,2,-5.936915642441511,42,0,-7.369827907066792,4,0,0,0,0,7,50,6
2018,2,PHI,REG,TB,334,1,0,-4.89085645320136,91,2,4.662328336678911,2,1,0,0,0,6,55,6
2018,2,PIT,REG,KC,452,3,0,15.135606445293782,33,2,1.0398175329901278,1,0,0,0,1,12,90,5
2018,2,SEA,REG,CHI,226,2,1,-11.323741457438302,74,0,-1.8097642658976838,2,2,0,0,0,5,37,6
2018,2,SF,REG,DET,206,2,0,4.388481060848342,190,1,3.2210934866584466,2,0,0,0,0,9,86,4
2018,2,TB,REG,PHI,402,4,1,19.270699014305137,43,0,-7.515956233954057,3,0,0,0,0,4,44,6
2018,2,TEN,REG,HOU,191,2,0,7.5653050963561315,100,0,-5.610529945564219,4,1,0,0,0,8,70,4
2018,2,WAS,REG,IND,292,0,0,-0.4086713707450209,65,0,-4.4166018350515515,1,2,0,0,0,7,90,6
2018,3,ARI,REG,CHI,193,2,3,-4.786545178096276,53,0,-6.194078341824934,3,1,0,0,0,6,43,6
2018,3,ATL,REG,NO,374,5,0,21.891023692878896,48,0,-7.273475314897951,1,0,0,0,0,5,54,3
2018,3,BAL,REG,DEN,277,1,0,6.875180206092017,77,2,-2.2061075227102265,3,1,0,0,0,7,52,4
2018,3,BUF,REG,MIN,196,1,0,3.0701352151596684,128,2,-2.635614152182825,4,1,0,0,0,12,84,4
2018,3,CAR,REG,CIN,150,2,0,4.0837776773259975,230,2,4.044885943683334,2,4,0,0,0,3,17,1
2018,3,CHI,REG,ARI,220,0,1,-3.248134196622907,122,1,-0.7225468295218889,4,3,0,0,0,7,45,6
2018,3,CIN,REG,CAR,352,2,4,3.40222529924678,66,1,1.3147398984874599,1,0,0,0,0,4,36,6
2018,3,CLE,REG,NYJ,220,0,0,-1.5773620087771727,133,2,-2.490392629755661,2,2,0,0,0,5,41,3
2018,3,DAL,REG,SEA,168,1,2,-13.209463649992225,166,0,-0.41040138562675565,2,0,0,0,0,7,55,6
2018,3,DEN,REG,BAL,192,0,1,-7.07734198088292,120,2,1.8344624518649653,2,0,0,0,0,13,120,6
2018,3,DET,REG,NE,262,2,1,5.894611850380104,159,0,-1.7832442764065575,2,1,0,0,0,6,70,3
2018,3,GB,REG,WAS,265,2,0,-5.90339356317329,100,0,3.4121174630708992,0,1,0,0,0,11,115,5
2018,3,HOU,REG,NYG,385,2,1,13.19374925062662,59,0,-4.293550748669077,4,0,0,0,0,7,50,6
2018,3,IND,REG,PHI,164,1,0,-12.584832421104956,68,0,2.1632391686434858,5,1,0,0,0,11,77,3
2018,3,JAX,REG,TEN,155,0,0,-6.001817497203257,87,0,-2.9889343173563168,3,0,0,0,0,8,75,5
2018,3,KC,REG,SF,314,3,0,18.612729434728095,77,2,0.7236401257978287,4,0,0,0,0,6,48,2
2018,3,LA,REG,LAC,354,3,1,21.07711400937048,171,1,3.337822728091851,2,0,0,0,0,6,64,4
2018,3,LAC,REG,LA,226,2,0,7.589841167589931,141,1,4.8212877081823535,1,1,0,0,0,4,30,5
2018,3,LV,REG,MIA,345,1,2,9.376027565700332,109,1,-4.122728584829019,1,0,0,1,0,8,38,6
2018,3,MIA,REG,LV,341,4,0,16.045670076739043,41,0,-4.435569793306058,3,2,0,0,0,9,74,3
2018,3,MIN,REG,BUF,296,1,1,-21.413281923756468,14,0,-3.2276215271558613,3,0,0,1,0,6,59,6
2018,3,NE,REG,DET,133,1,1,-10.869922926241998,89,0,-1.6935008682327464,1,1,0,0,0,5,38,4
2018,3,NO,REG,ATL,396,3,0,19.16651251464429,143,2,4.493496057839366,3,0,0,0,0,11,120,6
2018,3,NYG,REG,HOU,297,2,0,15.53474240148605,114,1,-3.2355235719005577,3,1,0,1,0,3,20,3
2018,3,NYJ,REG,CLE,169,0,2,-2.0185071221248907,107,2,-0.4354214301565662,4,0,0,2,0,6,55,5
2018,3,PHI,REG,IND,255,1,1,-6.572577315929394,152,1,-0.23018540040357038,2,0,0,2,0,10,110,6
2018,3,PIT,REG,TB,353,3,1,12.520667470851528,78,0,-5.451149663887918,3,3,1,0,0,13,155,4
2018,3,SEA,REG,DAL,192,2,0,8.012911418506341,113,1,-7.002349607122596,5,2,0,0,0,10,67,5
2018,3,SF,REG,KC,251,2,0,8.675984731884967,178,1,7.022481614607386,2,0,0,0,0,14,147,6
2018,3,TB,REG,PIT,411,3,3,5.485200843803525,63,0,-0.47989014725317247,3,1,0,0,0,9,80,4
2018,3,TEN,REG,JAX,108,0,0,-3.0288085869193346,150,0,-4.787565787258884,3,0,0,0,0,4,30,4
2018,3,WAS,REG,GB,220,2,1,6.01085813328973,166,2,-2.6456799279807597,4,0,0,0,0,6,66,3
2018,4,ARI,REG,SEA,180,1,0,4.464519335358948,92,1,-11.004810200800703,2,0,0,0,0,5,38,3
2018,4,ATL,REG,CIN,419,3,0,16.958076102897977,92,1,-1.3025282124290243,3,1,0,0,0,10,95,5
