season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2019,1,ARI,REG,DET,308,2,1,-7.415795028411468,112,0,-0.19008453702554107,3,0,0,0,0,7,35,7
2019,1,ATL,REG,MIN,304,2,2,-7.880094879801384,73,0,-7.794617541425396,1,0,0,0,0,9,78,6
2019,1,BAL,REG,MIA,379,6,0,37.98969640371769,265,2,4.397393312945496,3,2,0,0,0,4,40,1
2019,1,BUF,REG,NYJ,254,1,2,-6.49079678784474,128,1,-1.310133259394206,4,0,0,0,0,7,55,6
2019,1,CAR,REG,LA,239,0,1,-2.6027920963938502,127,3,0.3301389663252561,1,1,0,0,0,6,46,6
2019,1,CHI,REG,GB,228,0,1,-14.581126674993754,46,0,-4.625344006810337,5,0,0,0,0,10,107,3
2019,1,CIN,REG,SEA,418,2,0,8.67743584828683,34,0,-8.601432993511969,4,0,0,1,0,7,57,6
2019,1,CLE,REG,TEN,285,1,3,-17.78464951738715,102,1,-4.383691023045685,4,0,0,0,0,18,182,2
2019,1,DAL,REG,NYG,405,4,0,30.21752614644356,89,1,-5.708657774201129,1,0,0,0,0,6,47,2
2019,1,DEN,REG,LV,268,1,0,7.573604200706965,95,0,-0.2759331079723779,0,0,0,0,0,6,44,4
2019,1,DET,REG,ARI,385,3,0,11.415976724883038,116,0,-8.55172715819208,5,1,0,1,0,9,59,5
2019,1,GB,REG,CHI,203,1,0,-3.7905377670540474,47,0,-11.847479663110827,5,1,0,0,0,10,71,5
2019,1,HOU,REG,NO,268,3,1,7.570613407006022,180,1,9.15255206002621,1,1,0,0,0,8,69,5
2019,1,IND,REG,LAC,190,2,0,6.569265783417714,203,1,10.333205561080948,4,1,0,0,0,3,10,4
2019,1,JAX,REG,KC,350,3,1,14.893707105076977,81,0,-0.5354231974342838,0,0,0,0,0,10,71,4
2019,1,KC,REG,JAX,378,3,0,23.25864155390254,113,1,-2.652680626953952,1,1,0,0,0,5,55,2
2019,1,LA,REG,CAR,186,1,1,-1.9010606191861106,166,2,2.039802322804462,3,1,0,0,0,5,43,3
2019,1,LAC,REG,IND,333,3,1,7.975745781830012,125,1,4.765310221351683,2,0,0,1,0,3,20,3
2019,1,LV,REG,DEN,259,1,0,17.30340976442676,98,2,-2.3370155930483483,3,0,0,0,0,9,62,3
2019,1,MIA,REG,BAL,190,1,2,-5.825108299935694,21,0,-5.819200766389258,1,0,0,1,0,9,64,5
2019,1,MIN,REG,ATL,98,1,0,8.41886515065562,172,3,-0.8496127827093005,4,2,0,0,0,11,100,5
2019,1,NE,REG,PIT,373,3,0,18.92419481814025,99,0,-3.089348020963371,1,1,0,0,0,7,55,3
2019,1,NO,REG,HOU,370,2,1,13.203921532816677,148,1,2.4552797684370846,6,1,0,0,0,7,48,6
2019,1,NYG,REG,DAL,323,1,0,2.0287979717854707,151,1,6.3572509523364715,0,0,0,0,0,8,70,6
2019,1,NYJ,REG,BUF,175,1,0,-3.570285405067562,68,0,-3.130065410863608,1,2,1,0,1,8,67,6
2019,1,PHI,REG,WAS,313,3,0,17.389839017203876,123,1,-2.009580585567048,1,0,0,0,0,6,55,3
2019,1,PIT,REG,NE,276,0,1,-8.184870418769794,32,0,-5.391416558879428,1,0,0,0,0,6,54,2
2019,1,SEA,REG,CIN,195,2,0,4.026023040176369,72,1,-6.720193194254534,5,0,0,0,0,8,55,4
2019,1,SF,REG,TB,166,1,1,0.13020245599378044,98,0,-7.065551215491723,3,3,2,0,0,11,87,3
2019,1,TB,REG,SF,194,1,3,-23.019777031966736,121,0,1.5193492147373036,1,1,1,0,0,8,87,2
2019,1,TEN,REG,CLE,248,3,0,6.292000749559662,123,1,-2.024291084962897,5,3,1,0,1,6,54,2
2019,1,WAS,REG,PHI,380,3,0,21.74909209827126,28,0,-6.441294327378273,1,0,0,0,0,12,96,5
2019,2,ARI,REG,BAL,349,0,0,10.335342888751452,20,1,-4.490210622694576,2,0,0,0,0,8,70,6
2019,2,ATL,REG,PHI,320,3,3,1.7372072657552184,57,0,-2.58901960356161,3,2,0,0,0,10,58,5
2019,2,BAL,REG,ARI,272,2,0,8.932649838816674,182,0,-2.1879098118515685,3,0,0,0,0,10,62,3
2019,2,BUF,REG,NYG,253,1,0,6.32332148833666,151,3,4.56495437034755,1,2,0,0,0,9,65,2
2019,2,CAR,REG,TB,333,0,0,-4.105722198695153,39,0,-13.075655458099714,3,0,0,2,1,5,50,6
2019,2,CHI,REG,DEN,120,0,0,-0.12264662918344094,153,1,1.3415437370778873,2,1,0,0,0,7,65,6
2019,2,CIN,REG,SF,311,2,1,5.914097207342017,25,0,-7.741519917895583,0,1,0,0,0,7,60,1
2019,2,CLE,REG,NYJ,325,1,1,2.1129848200821097,70,1,-4.153414692962542,4,0,0,0,0,9,85,4
2019,2,DAL,REG,WAS,269,3,1,12.421493609144868,213,1,6.160171423631255,1,0,0,0,0,8,67,2
2019,2,DEN,REG,CHI,292,1,1,8.05582141854253,90,0,-4.6306356567074545,0,0,0,0,0,10,81,4
2019,2,DET,REG,LAC,245,2,2,4.73803765916035,94,0,-4.4311750081251375,1,1,0,0,0,8,71,0
2019,2,GB,REG,MIN,209,2,0,5.121589428046718,144,1,-8.32962777785724,1,2,0,0,0,6,35,2
2019,2,HOU,REG,JAX,159,0,0,-5.807588512839654,126,1,-0.9410080481902696,4,0,0,0,0,7,47,4
2019,2,IND,REG,TEN,146,3,1,-4.746864459331846,167,0,3.4197816399100702,4,0,0,0,0,8,65,4
2019,2,JAX,REG,HOU,213,1,0,-6.443293279581585,103,0,1.0569267028914764,3,0,0,0,0,9,70,3
2019,2,KC,REG,LV,443,4,0,25.75272763503017,31,0,-13.16416676150402,3,2,0,0,0,10,114,4
2019,2,LA,REG,NO,283,1,0,7.7150286381801685,115,2,1.082195044757798,2,1,0,0,0,8,65,2
2019,2,LAC,REG,DET,293,0,1,0.9198691282932581,137,1,-2.8147688384051435,0,2,0,0,0,9,70,5
2019,2,LV,REG,KC,198,1,2,-12.77904789778404,129,0,3.8600361695187306,2,0,0,0,0,7,52,3
2019,2,MIA,REG,NE,186,0,4,-40.4753586986335,42,0,-4.176923806313425,2,0,0,0,0,4,22,5
2019,2,MIN,REG,GB,230,1,2,-13.416736880704743,198,1,9.31425948406104,2,0,0,3,0,8,100,5
2019,2,NE,REG,MIA,264,2,0,15.971405789570726,124,2,-3.710910499241436,7,4,2,0,0,5,54,3
2019,2,NO,REG,LA,203,0,1,-3.9113812828945527,57,0,-7.98442047285466,3,0,0,0,0,11,87,4
2019,2,NYG,REG,BUF,250,1,2,-8.68127586922741,129,1,4.330614937876817,3,0,0,0,0,7,40,5
2019,2,NYJ,REG,CLE,201,0,0,-10.523426095838659,93,0,-5.519049929897587,3,1,0,0,0,12,89,0
2019,2,PHI,REG,ATL,255,1,2,-3.2431801498545196,49,1,-4.265445536046056,1,3,0,0,0,7,60,6
2019,2,PIT,REG,SEA,187,2,1,-6.73623199039623,81,1,2.846455533290282,4,0,0,1,0,5,78,5
2019,2,SEA,REG,PIT,300,3,0,13.496241067398502,151,1,-12.42431860906072,1,1,0,0,0,10,93,4
2019,2,SF,REG,CIN,312,3,1,17.852392445658207,259,2,11.980928239005152,4,1,0,0,0,9,75,4
2019,2,TB,REG,CAR,208,1,0,4.696494561837657,100,1,-2.3061977683682926,3,0,0,1,0,12,66,1
2019,2,TEN,REG,IND,154,1,0,-3.922667953931664,124,1,-0.9127712226590874,2,1,0,0,0,5,75,3
2019,2,WAS,REG,DAL,221,2,0,6.979027136927471,47,1,-1.7392735447210725,1,1,0,0,0,6,44,4
2019,3,ARI,REG,CAR,173,2,2,-15.179669894452307,121,0,8.745929548575077,2,0,0,0,0,7,52,4
2019,3,ATL,REG,IND,304,3,1,21.29821440214066,93,0,0.263850444345735,1,0,0,0,0,16,128,6
2019,3,BAL,REG,KC,267,0,0,0.6125163814535126,203,4,16.08758287658589,1,0,0,0,0,7,60,5
