season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2016,1,ARI,REG,NE,271,2,0,8.298648470117078,92,1,2.098658821574645,2,0,0,0,0,6,58,4
2016,1,ATL,REG,TB,334,2,0,8.989940662698666,52,0,-7.653444170029404,0,1,0,0,0,7,74,4
2016,1,BAL,REG,BUF,258,1,0,3.0352024855233952,83,0,-11.255318455223254,2,0,0,0,0,6,35,4
2016,1,BUF,REG,BAL,111,0,0,-1.9608128532300122,65,1,-4.708450932113919,4,0,0,0,0,8,89,5
2016,1,CAR,REG,DEN,194,1,1,1.192924345365221,157,1,1.4287062133080326,2,2,0,0,0,8,85,6
2016,1,CHI,REG,HOU,216,1,1,-5.538002573797712,73,1,-5.862927495094482,2,1,0,0,0,4,30,6
2016,1,CIN,REG,NYJ,366,1,1,7.580591669412954,57,1,-2.4233181205927394,1,1,0,0,0,5,44,4
2016,1,CLE,REG,PHI,190,0,1,-10.987217230394918,120,1,-7.404592001752462,2,0,0,0,0,4,15,2
2016,1,DAL,REG,NYG,227,0,0,1.5131995409891146,101,1,-2.1555141180288047,2,1,0,0,0,6,50,4
2016,1,DEN,REG,CAR,178,1,2,-2.8472406643268187,148,2,2.9896099573525134,3,1,0,0,0,4,22,4
2016,1,DET,REG,IND,340,3,0,21.609360884324147,116,2,3.6757334895664826,2,0,0,0,1,8,70,3
2016,1,GB,REG,JAX,199,2,0,7.07230370092725,95,1,1.5891603975733162,3,1,0,1,0,5,24,5
2016,1,HOU,REG,CHI,231,2,1,4.643802836149624,129,0,-3.841278134059394,5,1,0,0,0,6,69,5
2016,1,IND,REG,DET,385,4,0,17.35027003874223,82,0,1.7501754208933562,1,0,0,0,0,5,45,5
2016,1,JAX,REG,GB,320,1,1,4.33543254877947,48,1,-5.827908467093948,1,0,0,0,0,9,79,5
2016,1,KC,REG,LAC,363,2,1,6.229739468570999,83,2,2.4594993915525265,1,0,0,0,0,6,46,6
2016,1,LA,REG,SF,130,0,2,-20.59226640703855,65,0,-7.054608127975371,0,0,0,0,0,10,102,1
2016,1,LAC,REG,KC,243,1,0,9.148071904259204,155,2,4.566331354842987,3,1,0,0,0,5,30,6
2016,1,LV,REG,NO,319,1,0,11.6556735841168,167,3,6.418946429155767,1,0,0,0,0,14,141,6
2016,1,MIA,REG,SEA,186,0,0,-5.473228159331153,64,1,-4.518891409767093,3,1,0,0,0,4,40,5
2016,1,MIN,REG,TEN,236,0,0,9.69939428734385,65,0,-9.531635030782946,2,1,1,0,0,3,39,4
2016,1,NE,REG,ARI,264,1,0,13.31749449802595,106,1,-5.7382164564204325,3,0,0,0,0,8,69,3
2016,1,NO,REG,LV,423,4,0,15.37267069364979,88,0,-1.8873249727179893,0,0,0,0,0,7,53,4
2016,1,NYG,REG,DAL,207,3,1,6.473165935545694,113,0,-1.136835303681437,0,0,0,0,0,4,40,2
2016,1,NYJ,REG,CIN,189,2,1,-1.6877584503741763,152,0,0.3777140546811446,7,1,0,0,0,7,95,3
2016,1,PHI,REG,CLE,278,2,0,5.131715336382234,133,1,-1.8049451070837677,3,1,0,0,1,7,46,2
2016,1,PIT,REG,WAS,300,3,1,14.946512912197816,147,2,6.142958822660148,0,2,0,0,0,4,81,2
