season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2025,1,ARI,REG,NO,163,2,0,1.5247993258601382,146,0,1.1585398027950686,1,0,0,0,0,9,54,0
2025,1,ATL,REG,TB,298,1,0,9.624095207309598,69,1,-5.7664944543503225,1,0,0,0,0,8,55,6
2025,1,BAL,REG,BUF,209,2,0,8.798420577786704,238,3,10.486514349619986,1,0,0,0,0,7,51,5
2025,1,BUF,REG,BAL,394,2,0,14.233714385272462,108,3,1.9875707046617141,2,0,0,0,0,5,38,6
2025,1,CAR,REG,JAX,154,1,2,-15.40268957134174,113,0,0.019907066074665636,0,1,0,0,0,4,35,6
2025,1,CHI,REG,MIN,210,1,0,-6.988247807139811,119,1,2.5311888938449556,3,1,1,0,0,12,127,5
2025,1,CIN,REG,CLE,113,1,0,-0.3315927372285721,46,1,-5.00294650052092,2,2,0,0,0,7,33,5
2025,1,CLE,REG,CIN,290,1,2,-1.8421275162300694,49,1,-1.7932241758680902,3,0,0,0,0,7,53,4
2025,1,DAL,REG,PHI,188,0,0,1.6543752712656965,119,2,0.7568821354070678,1,0,0,0,0,4,42,6
2025,1,DEN,REG,TEN,176,1,2,-7.6557667409744266,151,1,-4.498567477625329,6,0,0,1,0,6,45,4
2025,1,DET,REG,GB,225,1,1,1.3743778578947285,46,0,-5.360156191396527,0,0,0,0,0,7,40,2
2025,1,GB,REG,DET,188,2,0,10.06529425203067,78,1,-2.4207472687050577,4,1,0,0,0,4,40,3
2025,1,HOU,REG,LA,188,0,1,-4.065033344958763,114,0,1.0518964720943282,3,0,0,0,0,11,80,4
2025,1,IND,REG,MIA,272,1,0,12.997713351082982,156,2,5.522064567154631,3,2,0,0,0,4,45,3
2025,1,JAX,REG,CAR,178,1,1,1.3131129483738126,200,1,6.58218051100444,1,2,0,0,0,11,93,3
2025,1,KC,REG,LAC,258,1,0,3.4485526789862906,98,1,8.906440938299056,3,0,0,0,0,10,71,6
2025,1,LA,REG,HOU,245,1,0,6.090108856966253,72,1,-6.282822540670168,3,1,0,0,0,7,60,2
2025,1,LAC,REG,KC,318,3,0,17.567262160454625,90,0,-0.23139648232954402,2,0,0,0,0,6,49,1
